"plh0184","year","age_gr","regtyp","n","percent","lower_confidence","upper_confidence"
"Sometimes","2014","35-65 y.","Urban Area","4180","0.415665991535844","0.406062116312086","0.425269866759601"
"Sometimes","2014","66 and older","Rural Area","587","0.332201393871341","0.310196704795188","0.354206082947494"
"Sometimes","2014","66 and older","Urban Area","1141","0.355778282942607","0.339244960849229","0.372311605035984"
"Very often","2014","16-34 y.","Rural Area","124","0.0527918743269536","0.0431493846923394","0.0624343639615678"
"Very often","2014","16-34 y.","Urban Area","314","0.0619794687035007","0.0549478851379555","0.0690110522690458"
"Very often","2014","35-65 y.","Rural Area","258","0.0410254877284005","0.0357696113432081","0.0462813641135928"
"Very often","2014","35-65 y.","Urban Area","539","0.0489164301625769","0.0447132268470595","0.0531196334780944"
"Very often","2014","66 and older","Rural Area","20","","",""
"Very often","2014","66 and older","Urban Area","65","0.0167766451246115","0.0123412595404694","0.0212120307087536"
"Very rare","2014","16-34 y.","Rural Area","186","0.094537159092815","0.0819212217867182","0.107153096398912"
"Very rare","2014","16-34 y.","Urban Area","384","0.0736941713247888","0.0660748407929255","0.081313501856652"
"Very rare","2014","35-65 y.","Rural Area","525","0.102498475134635","0.0944615294474496","0.11053542082182"
"Very rare","2014","35-65 y.","Urban Area","902","0.0882682025807425","0.0827400582535953","0.0937963469078897"
"Very rare","2014","66 and older","Rural Area","405","0.230996447601952","0.211305864342051","0.250687030861852"
"Very rare","2014","66 and older","Urban Area","646","0.203412870199524","0.189511468750297","0.217314271648752"
"Often","2015","16-34 y.","Rural Area","405","0.206642819933209","0.18809183023201","0.225193809634409"
"Often","2015","16-34 y.","Urban Area","839","0.206937937975324","0.194272346907683","0.219603529042965"
"Often","2015","35-65 y.","Rural Area","978","0.193543422395478","0.182729179131867","0.204357665659088"
"Often","2015","35-65 y.","Urban Area","1828","0.18831619028114","0.180370275769866","0.196262104792414"
"Often","2015","66 and older","Rural Area","168","0.0963320461829002","0.082559578302563","0.110104514063237"
"Often","2015","66 and older","Urban Area","292","0.0939788779580132","0.0838129852251156","0.104144770690911"
"Rarely","2015","16-34 y.","Rural Area","472","0.24800974135838","0.228223512719573","0.267795969997187"
