"year","bula_h","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1998","Baden-Württemberg","34325.25","31863","1831","644","7405","51281","71837","116298","33056.56","35593.94","0","279339","34206","36620"
"1998","Bavaria","33464.69","31765","1879","337","6212","51567","71742","105122","32230.91","34698.47","0","252890","34191","37454"
"1998","Berlin","28842.04","24396.7","532","113","4380","43279","65804","111687","26464.12","31219.96","0","152205","25447","32979"
"1998","Brandenburg","23148.04","21443","624","199","1427","37169","53841","81698","21298.03","24998.05","0","207006","24440","28070"
"1998","Bremen","21391.1","18625.1","101","0","797","31541","53011","108386","16541.09","26241.11","0","108386","18748","29450"
"1998","Hamburg","27503.09","25142.21","154","10","577","48501","61046","86941","23073.53","31932.65","0","112914","27415","42972"
"1998","Hesse","36613.54","30958.88","953","226","6731","50463","73763","148564","34431.73","38795.35","0","413734","31956","36225"
"1998","Lower Saxony","33565.75","29816.31","1205","152","5046","49525","75371","118424","31875.11","35256.39","0","220421","31146","35318"
"1998","Mecklenburg-Western Pomerania","25564","21632.42","411","66","885","39957","56232","101733","22622.04","28505.96","0","269711","24736","32249"
"1998","North Rhine-Westphalia","35527.9","31011.79","2858","156","7476","50772","74454","141767","34307.7","36748.1","0","566257","32043","34539"
"1998","Rhineland-Palatinate,Saarland","27788.23","25309","807","228","5314","42798","57646","97301","26106.76","29469.7","0","155466","29041","31783"
"1998","Saxony","23670.26","19677.01","1188","123","915","37102","52755","107035","22344.19","24996.33","0","211986","24695","28599"
"1998","Saxony-Anhalt","20978.78","16511.31","693","32","307","34945","50088","81089","19287.49","22670.07","0","89587","23866","27376"
"1998","Schleswig-Holstein","34535.64","30527.44","356","162","8618","48310","77195","113133","31425.82","37645.46","0","132893","30566","38335"
"1998","Thuringia","21348.84","19344","735","63","511","33581","51802","83371","19729.09","22968.59","0","94288","22701","27904"
"1999","Baden-Württemberg","36026.26","31295.76","1742","920","8357","54207","74858","126571","34676.59","37375.93","0","219479","33132","37287"
"1999","Bavaria","34288.47","32097","1804","336","6810","51442","72601","116985","32990.47","35586.47","0","230308","34836","38381"
"1999","Berlin","30564.52","23448.86","516","110","5456","47103","71930","105405","28064.37","33064.67","0","154537","23667","32247"
"1999","Brandenburg","23342.5","19202","602","188","937","37358","53765","91061","21508.5","25176.5","0","91266","23015","28685"
"1999","Bremen","21072.85","6768.75","89","88","1187","35250","46630","97381","15694.14","26451.56","0","97381","6887","32902"
"1999","Hamburg","33463.75","33573.05","140","0","3456","55351","68104","98906","28940.09","37987.41","0","98906","30780","42744"
"1999","Hesse","35415.92","30885","901","123","4689","50874","74710","203136","33279.19","37552.65","0","245768","32181","35893"
"1999","Lower Saxony","34730.8","29767.47","1176","255","6561","47270","74776","148888","32737.37","36724.23","0","428635","31961","36313"
"1999","Mecklenburg-Western Pomerania","24510.91","21474","402","76","1154","40756","56726","100724","21986.9","27034.92","0","114252","24699","29675"
"1999","North Rhine-Westphalia","36605.4","31650.08","2718","147","8068","53499","76663","152093","35411.05","37799.75","0","325578","33009","35521"
"1999","Rhineland-Palatinate,Saarland","28822.2","26115.8","774","253","6227","44460","60212","97547","27053.34","30591.06","0","182415","29399","35203"
"1999","Saxony","24652.98","20559","1157","116","952","38084","53928","115233","23316.34","25989.62","0","230957","24713","28587"
"1999","Saxony-Anhalt","21659.09","18816","694","64","406","37998","51730","77491","19931.65","23386.53","0","92956","22460","27920"
"1999","Schleswig-Holstein","36014","31447.4","330","74","8837","52632","77429","122045","32641.5","39386.5","0","181956","31615","41216"
"1999","Thuringia","23084.08","18199.12","723","43","657","33045","51052","97227","20948.06","25220.1","0","330654","24542","27985"
"2000","Baden-Württemberg","38967.39","36103.26","2974","759","8896","57009","77665","165886","37812.95","40121.83","0","284223","37529","39750"
