"transab_cat","year","age_gr","hgtyp1hh","n","percent","lower_confidence","upper_confidence","value"
"Very low transfer dependency","1986","66 and older","Couple + C. LE and GT 16","","","","","1"
"Very low transfer dependency","1986","66 and older","Couple + C. GT 16 ","12","","","","1"
"Very low transfer dependency","1986","16-34 y.","Couple + C. LE 16 ","999","0.900481593283442","0.883004256296481","0.917958930270402","1"
"Very low transfer dependency","1986","16-34 y.","1-pers.-HH","25","","","","1"
"Very low transfer dependency","1986","16-34 y.","(Married) couple without C. ","113","0.172186871227425","0.142798898081922","0.201574844372927","1"
"Very low transfer dependency","1986","16-34 y.","Single parent ","142","0.579932517479486","0.518379708506485","0.641485326452487","1"
"Very low transfer dependency","1986","35-65 y.","Couple + C. LE and GT 16","723","0.941288404934887","0.924801244340282","0.957775565529491","1"
"Very low transfer dependency","1986","66 and older","1-pers.-HH","33","0.0966311194136658","0.0664444464372454","0.126817792390086","1"
"Very low transfer dependency","1986","66 and older","(Married) couple without C. ","14","","","","1"
"Very low transfer dependency","1986","66 and older","Single parent ","3","","","","1"
"Very low transfer dependency","1986","66 and older","Couple + C. LE 16 ","1","","","","1"
"Complete transfer dependency","1987","16-34 y.","Couple + C. GT 16 ","1","","","","5"
"Complete transfer dependency","1987","16-34 y.","Couple + C. LE 16 ","9","","","","5"
"Complete transfer dependency","1987","16-34 y.","1-pers.-HH","5","","","","5"
"Complete transfer dependency","1987","16-34 y.","(Married) couple without C. ","2","","","","5"
"Complete transfer dependency","1987","16-34 y.","Single parent ","8","","","","5"
"Complete transfer dependency","1987","16-34 y.","Couple + C. LE and GT 16","3","","","","5"
"Complete transfer dependency","1987","35-65 y.","1-pers.-HH","15","","","","5"
"Complete transfer dependency","1987","35-65 y.","(Married) couple without C. ","2","","","","5"
"Complete transfer dependency","1987","35-65 y.","Single parent ","2","","","","5"
"Complete transfer dependency","1987","35-65 y.","Couple + C. LE 16 ","15","","","","5"
"Complete transfer dependency","1987","35-65 y.","Couple + C. GT 16 ","2","","","","5"
"Complete transfer dependency","1987","35-65 y.","Couple + C. LE and GT 16","4","","","","5"
"Complete transfer dependency","1987","66 and older","1-pers.-HH","2","","","","5"
"Complete transfer dependency","1987","66 and older","(Married) couple without C. ","","","","","5"
"Complete transfer dependency","1987","66 and older","Single parent ","","","","","5"
"Complete transfer dependency","1987","66 and older","Couple + C. LE 16 ","","","","","5"
"Complete transfer dependency","1987","66 and older","Couple + C. GT 16 ","","","","","5"
"Complete transfer dependency","1987","66 and older","Couple + C. LE and GT 16","","","","","5"
"High transfer dependency","1987","16-34 y.","(Married) couple without C. ","2","","","","3"
"High transfer dependency","1987","16-34 y.","1-pers.-HH","10","","","","3"
"High transfer dependency","1987","35-65 y.","Single parent ","5","","","","3"
"High transfer dependency","1987","35-65 y.","Couple + C. LE 16 ","17","","","","3"
"High transfer dependency","1987","35-65 y.","Couple + C. LE and GT 16","8","","","","3"
"High transfer dependency","1987","66 and older","1-pers.-HH","","","","","3"
"High transfer dependency","1987","66 and older","(Married) couple without C. ","4","","","","3"
"High transfer dependency","1987","35-65 y.","Couple + C. GT 16 ","12","","","","3"
"High transfer dependency","1987","35-65 y.","(Married) couple without C. ","10","","","","3"
"High transfer dependency","1987","66 and older","Single parent ","","","","","3"
"High transfer dependency","1987","35-65 y.","1-pers.-HH","4","","","","3"
"High transfer dependency","1987","16-34 y.","Couple + C. LE and GT 16","9","","","","3"
"High transfer dependency","1987","16-34 y.","Couple + C. GT 16 ","7","","","","3"
"High transfer dependency","1987","16-34 y.","Single parent ","4","","","","3"
"High transfer dependency","1987","16-34 y.","Couple + C. LE 16 ","9","","","","3"
"High transfer dependency","1987","66 and older","Couple + C. LE 16 ","","","","","3"
"High transfer dependency","1987","66 and older","Couple + C. GT 16 ","","","","","3"
"High transfer dependency","1987","66 and older","Couple + C. LE and GT 16","","","","","3"
"Low transfer dependency","1987","16-34 y.","Couple + C. GT 16 ","14","","","","2"
"Low transfer dependency","1987","16-34 y.","Couple + C. LE and GT 16","33","0.0592940746090724","0.0387767000250427","0.079811449193102","2"
"Low transfer dependency","1987","66 and older","Couple + C. LE and GT 16","","","","","2"
"Low transfer dependency","1987","66 and older","Couple + C. GT 16 ","1","","","","2"
"Low transfer dependency","1987","16-34 y.","1-pers.-HH","8","","","","2"
"Low transfer dependency","1987","16-34 y.","(Married) couple without C. ","20","","","","2"
"Low transfer dependency","1987","16-34 y.","Single parent ","25","","","","2"
"Low transfer dependency","1987","16-34 y.","Couple + C. LE 16 ","58","0.0506874401573267","0.0379426774795928","0.0634322028350606","2"
"Low transfer dependency","1987","35-65 y.","1-pers.-HH","10","","","","2"
"Low transfer dependency","1987","35-65 y.","(Married) couple without C. ","24","","","","2"
"Low transfer dependency","1987","35-65 y.","Single parent ","23","","","","2"
"Low transfer dependency","1987","35-65 y.","Couple + C. LE 16 ","40","0.0338478725000982","0.0234636598334672","0.0442320851667293","2"
"Low transfer dependency","1987","35-65 y.","Couple + C. GT 16 ","23","","","","2"
"Low transfer dependency","1987","35-65 y.","Couple + C. LE and GT 16","30","0.0384790762962159","0.0241889798490534","0.0527691727433785","2"
"Low transfer dependency","1987","66 and older","1-pers.-HH","7","","","","2"
"Low transfer dependency","1987","66 and older","(Married) couple without C. ","2","","","","2"
"Low transfer dependency","1987","66 and older","Single parent ","1","","","","2"
"Low transfer dependency","1987","66 and older","Couple + C. LE 16 ","","","","","2"
"No transfer dependency","1987","16-34 y.","1-pers.-HH","234","0.795788182650183","0.750171190937975","0.841405174362392","0"
"No transfer dependency","1987","16-34 y.","(Married) couple without C. ","471","0.797328736316557","0.76500141911956","0.829656053513553","0"
"No transfer dependency","1987","16-34 y.","Single parent ","61","0.255899626626455","0.201916029774625","0.309883223478285","0"
"No transfer dependency","1987","16-34 y.","Couple + C. LE 16 ","33","0.0274622973100792","0.0179672175844383","0.0369573770357202","0"
"No transfer dependency","1987","16-34 y.","Couple + C. GT 16 ","264","0.352183943713332","0.318641863568599","0.385726023858065","0"
"No transfer dependency","1987","16-34 y.","Couple + C. LE and GT 16","10","","","","0"
"No transfer dependency","1987","35-65 y.","1-pers.-HH","320","0.764675029536831","0.724392591088872","0.804957467984791","0"
"No transfer dependency","1987","35-65 y.","(Married) couple without C. ","1035","0.874528545245949","0.855902553180972","0.893154537310927","0"
"No transfer dependency","1987","35-65 y.","Single parent ","64","0.31881903331809","0.257927038105706","0.379711028530473","0"
"No transfer dependency","1987","35-65 y.","Couple + C. LE 16 ","19","","","","0"
"No transfer dependency","1987","35-65 y.","Couple + C. GT 16 ","419","0.382525576141963","0.353660422272746","0.411390730011179","0"
"No transfer dependency","1987","35-65 y.","Couple + C. LE and GT 16","16","","","","0"
"No transfer dependency","1987","66 and older","1-pers.-HH","337","0.879438321060604","0.846699455291511","0.912177186829696","0"
"No transfer dependency","1987","66 and older","(Married) couple without C. ","483","0.942194250452603","0.921919993649687","0.962468507255518","0"
"No transfer dependency","1987","66 and older","Single parent ","20","","","","0"
"No transfer dependency","1987","66 and older","Couple + C. LE 16 ","","","","","0"
"No transfer dependency","1987","66 and older","Couple + C. GT 16 ","31","0.765817037836727","0.640686903031291","0.890947172642162","0"
"No transfer dependency","1987","66 and older","Couple + C. LE and GT 16","","","","","0"
"Very high transfer dependency","1987","35-65 y.","Couple + C. LE 16 ","5","","","","4"
"Very high transfer dependency","1987","35-65 y.","Single parent ","2","","","","4"
"Very high transfer dependency","1987","35-65 y.","(Married) couple without C. ","6","","","","4"
"Very high transfer dependency","1987","16-34 y.","Couple + C. LE and GT 16","3","","","","4"
"Very high transfer dependency","1987","35-65 y.","1-pers.-HH","10","","","","4"
"Very high transfer dependency","1987","16-34 y.","Couple + C. GT 16 ","1","","","","4"
"Very high transfer dependency","1987","16-34 y.","Couple + C. LE 16 ","7","","","","4"
"Very high transfer dependency","1987","16-34 y.","1-pers.-HH","12","","","","4"
"Very high transfer dependency","1987","16-34 y.","(Married) couple without C. ","4","","","","4"
"Very high transfer dependency","1987","16-34 y.","Single parent ","6","","","","4"
"Very high transfer dependency","1987","35-65 y.","Couple + C. GT 16 ","2","","","","4"
"Very high transfer dependency","1987","35-65 y.","Couple + C. LE and GT 16","6","","","","4"
"Very high transfer dependency","1987","66 and older","1-pers.-HH","","","","","4"
"Very high transfer dependency","1987","66 and older","(Married) couple without C. ","","","","","4"
"Very high transfer dependency","1987","66 and older","Single parent ","","","","","4"
"Very high transfer dependency","1987","66 and older","Couple + C. LE 16 ","","","","","4"
"Very high transfer dependency","1987","66 and older","Couple + C. GT 16 ","","","","","4"
"Very high transfer dependency","1987","66 and older","Couple + C. LE and GT 16","","","","","4"
"Very low transfer dependency","1987","35-65 y.","1-pers.-HH","67","0.127140382163873","0.0955061535713621","0.158774610756384","1"
"Very low transfer dependency","1987","35-65 y.","(Married) couple without C. ","138","0.0973821048948992","0.0807114945488613","0.114052715240937","1"
"Very low transfer dependency","1987","35-65 y.","Single parent ","129","0.535050373930535","0.469878963609964","0.600221784251107","1"
"Very low transfer dependency","1987","35-65 y.","Couple + C. LE 16 ","1069","0.916147297994938","0.900231577206983","0.932063018782892","1"
"Very low transfer dependency","1987","35-65 y.","Couple + C. GT 16 ","631","0.590009067984745","0.560797785803946","0.619220350165545","1"
"Very low transfer dependency","1987","16-34 y.","Couple + C. LE and GT 16","451","0.895245190978182","0.868641176043977","0.921849205912388","1"
"Very low transfer dependency","1987","16-34 y.","Couple + C. GT 16 ","492","0.626946058477077","0.592985074348767","0.660907042605387","1"
"Very low transfer dependency","1987","66 and older","Couple + C. LE and GT 16","1","","","","1"
"Very low transfer dependency","1987","16-34 y.","Couple + C. LE 16 ","1022","0.901674628198794","0.884375083096198","0.91897417330139","1"
"Very low transfer dependency","1987","66 and older","Couple + C. GT 16 ","12","","","","1"
"Very low transfer dependency","1987","16-34 y.","1-pers.-HH","31","0.0965876738358617","0.0631611416756186","0.130014205996105","1"
"Very low transfer dependency","1987","16-34 y.","(Married) couple without C. ","95","0.161272966517122","0.131696521207663","0.19084941182658","1"
"Very low transfer dependency","1987","16-34 y.","Single parent ","147","0.566856341136661","0.505555883704308","0.628156798569014","1"
"Very low transfer dependency","1987","35-65 y.","Couple + C. LE and GT 16","632","0.905748176941103","0.884041562856129","0.927454791026077","1"
"Very low transfer dependency","1987","66 and older","1-pers.-HH","34","0.0955149595897087","0.0659625644500999","0.125067354729318","1"
"Very low transfer dependency","1987","66 and older","(Married) couple without C. ","20","","","","1"
"Very low transfer dependency","1987","66 and older","Single parent ","4","","","","1"
"Very low transfer dependency","1987","66 and older","Couple + C. LE 16 ","1","","","","1"
"Complete transfer dependency","1988","16-34 y.","Couple + C. GT 16 ","1","","","","5"
"Complete transfer dependency","1988","16-34 y.","Couple + C. LE 16 ","12","","","","5"
"Complete transfer dependency","1988","16-34 y.","Single parent ","5","","","","5"
"Complete transfer dependency","1988","16-34 y.","1-pers.-HH","5","","","","5"
"Complete transfer dependency","1988","16-34 y.","(Married) couple without C. ","","","","","5"
"Complete transfer dependency","1988","16-34 y.","Couple + C. LE and GT 16","2","","","","5"
"Complete transfer dependency","1988","35-65 y.","1-pers.-HH","19","","","","5"
"Complete transfer dependency","1988","35-65 y.","(Married) couple without C. ","6","","","","5"
"Complete transfer dependency","1988","35-65 y.","Single parent ","1","","","","5"
"Complete transfer dependency","1988","35-65 y.","Couple + C. LE 16 ","7","","","","5"
"Complete transfer dependency","1988","35-65 y.","Couple + C. GT 16 ","2","","","","5"
"Complete transfer dependency","1988","35-65 y.","Couple + C. LE and GT 16","4","","","","5"
