"hlf0071_h","year","hgtyp1hh","sampreg","n","percent","lower_confidence","upper_confidence"
"A little too big","1989","(Married) couple without C. ","East Germany","","","",""
"A little too big","1989","Single parent ","West Germany","3","","",""
"A little too big","1989","Single parent ","East Germany","","","",""
"A little too big","1989","Couple + C. LE 16 ","West Germany","14","","",""
"A little too big","1989","Couple + C. LE 16 ","East Germany","","","",""
"A little too big","1989","Couple + C. GT 16 ","West Germany","7","","",""
"A little too big","1989","Couple + C. GT 16 ","East Germany","","","",""
"A little too big","1989","Couple + C. LE and GT 16","West Germany","","","",""
"A little too big","1989","Couple + C. LE and GT 16","East Germany","","","",""
"Much too big","1989","1-pers.-HH","West Germany","","","",""
"Much too big","1989","1-pers.-HH","East Germany","","","",""
"Much too big","1989","(Married) couple without C. ","West Germany","3","","",""
"Much too big","1989","(Married) couple without C. ","East Germany","","","",""
"Much too big","1989","Single parent ","West Germany","2","","",""
"Much too big","1989","Single parent ","East Germany","","","",""
"Much too big","1989","Couple + C. LE 16 ","West Germany","","","",""
"Much too big","1989","Couple + C. LE 16 ","East Germany","","","",""
"Much too big","1989","Couple + C. GT 16 ","West Germany","","","",""
"Much too big","1989","Couple + C. GT 16 ","East Germany","","","",""
"Much too big","1989","Couple + C. LE and GT 16","West Germany","","","",""
"Much too big","1989","Couple + C. LE and GT 16","East Germany","","","",""
"Much too small","1990","1-pers.-HH","West Germany","10","","",""
"Much too small","1990","1-pers.-HH","East Germany","8","","",""
"Much too small","1990","(Married) couple without C. ","West Germany","10","","",""
"Much too small","1990","(Married) couple without C. ","East Germany","30","0.0350669983237144","0.0234125962136379","0.0467214004337908"
"Much too small","1990","Single parent ","West Germany","","","",""
"Much too small","1990","Single parent ","East Germany","12","","",""
"Much too small","1990","Couple + C. LE 16 ","West Germany","20","","",""
"Much too small","1990","Couple + C. LE 16 ","East Germany","173","0.127242709415825","0.110282128926686","0.144203289904964"
"Much too small","1990","Couple + C. GT 16 ","West Germany","7","","",""
"Much too small","1990","Couple + C. GT 16 ","East Germany","68","0.0864463988704507","0.0672818527796965","0.105610944961205"
"Much too small","1990","Couple + C. LE and GT 16","West Germany","3","","",""
"Much too small","1990","Couple + C. LE and GT 16","East Germany","21","","",""
"A little too small","1990","1-pers.-HH","West Germany","30","0.237531365932174","0.167287240599323","0.307775491265025"
"A little too small","1990","1-pers.-HH","East Germany","45","0.137031724673713","0.100371280886297","0.173692168461129"
"A little too small","1990","(Married) couple without C. ","West Germany","34","0.144976218113657","0.102980627888562","0.186971808338751"
"A little too small","1990","(Married) couple without C. ","East Germany","151","0.153134120619725","0.130318335171347","0.175949906068102"
"A little too small","1990","Single parent ","West Germany","2","","",""
"A little too small","1990","Single parent ","East Germany","45","0.230142465002161","0.17044787550829","0.289837054496032"
"A little too small","1990","Couple + C. LE 16 ","West Germany","45","0.161550437428667","0.117405083737122","0.205695791120212"
"A little too small","1990","Couple + C. LE 16 ","East Germany","517","0.343656148824477","0.319484555132571","0.367827742516383"
"A little too small","1990","Couple + C. GT 16 ","West Germany","7","","",""
"A little too small","1990","Couple + C. GT 16 ","East Germany","202","0.224598052031871","0.196138733021866","0.253057371041876"
"A little too small","1990","Couple + C. LE and GT 16","West Germany","3","","",""
