"plj0014_v3","year","bula_h","pgisced97","n","percent","lower_confidence","upper_confidence"
"Yes","2004","Saxony","general elemantary","105","0.994902415301782","0.981345289494857","1.00845954110871"
"Yes","2004","Saxony","middle vocational","848","0.994563919807581","0.989620836775941","0.99950700283922"
"Yes","2004","Saxony","vocational + Abi","49","0.972230105629577","0.92668573182193","1.01777447943722"
"Yes","2004","Saxony","higher vocational","131","1","1","1"
"Yes","2004","Saxony","higher education","376","0.993625524464543","0.985602542977794","1.00164850595129"
"Yes","2004","Saxony-Anhalt","in school","34","1","1","1"
"Yes","2004","Saxony-Anhalt","inadequately","4","","",""
"Yes","2004","Saxony-Anhalt","general elemantary","74","1","1","1"
"Yes","2004","Saxony-Anhalt","middle vocational","458","1","1","1"
"Yes","2004","Saxony-Anhalt","vocational + Abi","33","1","1","1"
"Yes","2004","Saxony-Anhalt","higher vocational","92","1","1","1"
"Yes","2004","Saxony-Anhalt","higher education","222","1","1","1"
"Yes","2004","Thuringia","in school","30","1","1","1"
"Yes","2004","Thuringia","inadequately","2","","",""
"Yes","2004","Thuringia","general elemantary","60","1","1","1"
"Yes","2004","Thuringia","middle vocational","571","1","1","1"
"Yes","2004","Thuringia","vocational + Abi","25","","",""
"Yes","2004","Thuringia","higher vocational","72","1","1","1"
"Yes","2004","Thuringia","higher education","172","1","1","1"
"No","2004","Schleswig-Holstein","in school","2","","",""
"No","2004","Schleswig-Holstein","inadequately","2","","",""
"No","2004","Schleswig-Holstein","general elemantary","6","","",""
"No","2004","Schleswig-Holstein","middle vocational","13","","",""
"No","2004","Schleswig-Holstein","vocational + Abi","3","","",""
"No","2004","Schleswig-Holstein","higher vocational","1","","",""
"No","2004","Schleswig-Holstein","higher education","4","","",""
"No","2004","Hamburg","in school","","","",""
"No","2004","Hamburg","inadequately","","","",""
"No","2004","Hamburg","general elemantary","8","","",""
"No","2004","Hamburg","middle vocational","6","","",""
"No","2004","Hamburg","vocational + Abi","1","","",""
"No","2004","Hamburg","higher vocational","2","","",""
"No","2004","Hamburg","higher education","","","",""
"No","2004","Lower Saxony","in school","2","","",""
"No","2004","Lower Saxony","inadequately","7","","",""
"No","2004","Lower Saxony","general elemantary","32","0.136567080499311","0.0947469365909113","0.178387224407711"
"No","2004","Lower Saxony","middle vocational","43","0.0336751409771396","0.0223925554484725","0.0449577265058068"
"No","2004","Lower Saxony","vocational + Abi","7","","",""
"No","2004","Lower Saxony","higher vocational","2","","",""
"No","2004","Lower Saxony","higher education","12","","",""
"No","2004","Bremen","in school","1","","",""
"No","2004","Bremen","inadequately","","","",""
"No","2004","Bremen","general elemantary","","","",""
"No","2004","Bremen","middle vocational","6","","",""
"No","2004","Bremen","vocational + Abi","1","","",""
"No","2004","Bremen","higher vocational","","","",""
"No","2004","Bremen","higher education","3","","",""
"No","2004","North Rhine-Westphalia","in school","9","","",""
"No","2004","North Rhine-Westphalia","inadequately","46","0.476539398137523","0.372775926460146","0.5803028698149"
"No","2004","North Rhine-Westphalia","general elemantary","126","0.17842812461976","0.146913582695476","0.209942666544045"
"No","2004","North Rhine-Westphalia","middle vocational","146","0.0633851840537201","0.0532198579813332","0.073550510126107"
"No","2004","North Rhine-Westphalia","vocational + Abi","28","","",""
"No","2004","North Rhine-Westphalia","higher vocational","16","","",""
"No","2004","North Rhine-Westphalia","higher education","49","0.0995836090881337","0.0792609424774779","0.11990627569879"
"No","2004","Hesse","in school","5","","",""
"No","2004","Hesse","inadequately","13","","",""
"No","2004","Hesse","general elemantary","42","0.20970394076705","0.151511393169811","0.267896488364289"
"No","2004","Hesse","middle vocational","59","0.102523482040643","0.0794165483865814","0.125630415694704"
"No","2004","Hesse","vocational + Abi","16","","",""
"No","2004","Hesse","higher vocational","6","","",""
"No","2004","Hesse","higher education","30","0.123043493283391","0.0868256234662088","0.159261363100573"
"No","2004","Rhineland-Palatinate,Saarland","in school","3","","",""
"No","2004","Rhineland-Palatinate,Saarland","inadequately","10","","",""
"No","2004","Rhineland-Palatinate,Saarland","general elemantary","24","","",""
"No","2004","Rhineland-Palatinate,Saarland","middle vocational","35","0.0678197763878266","0.0488234913205488","0.0868160614551043"
"No","2004","Rhineland-Palatinate,Saarland","vocational + Abi","3","","",""
"No","2004","Rhineland-Palatinate,Saarland","higher vocational","2","","",""
"No","2004","Rhineland-Palatinate,Saarland","higher education","12","","",""
"No","2004","Baden-Württemberg","in school","7","","",""
"No","2004","Baden-Württemberg","inadequately","35","0.520337906301556","0.377511143142647","0.663164669460466"
"No","2004","Baden-Württemberg","general elemantary","169","0.255135096864309","0.214355804132913","0.295914389595704"
"No","2004","Baden-Württemberg","middle vocational","160","0.107708182713115","0.0902477973842077","0.125168568042022"
"No","2004","Baden-Württemberg","vocational + Abi","27","","",""
"No","2004","Baden-Württemberg","higher vocational","21","","",""
"No","2004","Baden-Württemberg","higher education","26","","",""
"No","2004","Bavaria","in school","4","","",""
"No","2004","Bavaria","inadequately","17","","",""
"No","2004","Bavaria","general elemantary","76","0.173244912294885","0.135142965270171","0.211346859319598"
"No","2004","Bavaria","middle vocational","88","0.0627189107033404","0.0508051963795635","0.0746326250271174"
"No","2004","Bavaria","vocational + Abi","22","","",""
"No","2004","Bavaria","higher vocational","14","","",""
"No","2004","Bavaria","higher education","26","","",""
"No","2004","Berlin","in school","1","","",""
"No","2004","Berlin","inadequately","1","","",""
"No","2004","Berlin","general elemantary","10","","",""
"No","2004","Berlin","middle vocational","12","","",""
"No","2004","Berlin","vocational + Abi","2","","",""
"No","2004","Berlin","higher vocational","4","","",""
"No","2004","Berlin","higher education","12","","",""
"No","2004","Brandenburg","in school","","","",""
"No","2004","Brandenburg","inadequately","","","",""
"No","2004","Brandenburg","general elemantary","2","","",""
"No","2004","Brandenburg","middle vocational","1","","",""
"No","2004","Brandenburg","vocational + Abi","","","",""
"No","2004","Brandenburg","higher vocational","","","",""
"No","2004","Brandenburg","higher education","","","",""
"No","2004","Mecklenburg-Western Pomerania","in school","","","",""
"No","2004","Mecklenburg-Western Pomerania","inadequately","","","",""
"No","2004","Mecklenburg-Western Pomerania","general elemantary","","","",""
"No","2004","Mecklenburg-Western Pomerania","middle vocational","1","","",""
"No","2004","Mecklenburg-Western Pomerania","vocational + Abi","","","",""
"No","2004","Mecklenburg-Western Pomerania","higher vocational","","","",""
"No","2004","Mecklenburg-Western Pomerania","higher education","","","",""
"No","2004","Saxony","in school","","","",""
"No","2004","Saxony","inadequately","","","",""
"No","2004","Saxony","general elemantary","1","","",""
"No","2004","Saxony","middle vocational","2","","",""
"No","2004","Saxony","vocational + Abi","1","","",""
"No","2004","Saxony","higher vocational","","","",""
"No","2004","Saxony","higher education","2","","",""
"No","2004","Saxony-Anhalt","in school","","","",""
"No","2004","Saxony-Anhalt","inadequately","","","",""
"No","2004","Saxony-Anhalt","general elemantary","","","",""
"No","2004","Saxony-Anhalt","middle vocational","","","",""
"No","2004","Saxony-Anhalt","vocational + Abi","","","",""
"No","2004","Saxony-Anhalt","higher vocational","","","",""
"No","2004","Saxony-Anhalt","higher education","","","",""
"No","2004","Thuringia","in school","","","",""
"No","2004","Thuringia","inadequately","","","",""
"No","2004","Thuringia","general elemantary","","","",""
"No","2004","Thuringia","middle vocational","","","",""
"No","2004","Thuringia","vocational + Abi","1","","",""
"No","2004","Thuringia","higher vocational","","","",""
"No","2004","Thuringia","higher education","","","",""
"Yes","2005","Schleswig-Holstein","in school","19","","",""
"Yes","2005","Schleswig-Holstein","inadequately","5","","",""
"Yes","2005","Schleswig-Holstein","general elemantary","73","0.879505503314325","0.808169958220838","0.950841048407813"
"Yes","2005","Schleswig-Holstein","middle vocational","330","0.943738557562245","0.919281613948624","0.968195501175866"
"Yes","2005","Schleswig-Holstein","vocational + Abi","36","0.980767828147568","0.937100807256494","1.02443484903864"
"Yes","2005","Schleswig-Holstein","higher vocational","50","0.978613801598601","0.939293315046772","1.01793428815043"
"Yes","2005","Schleswig-Holstein","higher education","102","0.978108229939731","0.950251569273307","1.00596489060615"
"Yes","2005","Hamburg","in school","11","","",""
"Yes","2005","Hamburg","inadequately","1","","",""
"Yes","2005","Hamburg","general elemantary","21","","",""
"Yes","2005","Hamburg","middle vocational","126","0.981905797753879","0.959080467207079","1.00473112830068"
"Yes","2005","Hamburg","vocational + Abi","22","","",""
"Yes","2005","Hamburg","higher vocational","19","","",""
"Yes","2005","Hamburg","higher education","72","1","1","1"
"Yes","2005","Lower Saxony","in school","60","0.949827962807197","0.895489720065967","1.00416620554843"
"Yes","2005","Lower Saxony","inadequately","19","","",""
"Yes","2005","Lower Saxony","general elemantary","217","0.862379191574083","0.819329333478605","0.905429049669561"
"Yes","2005","Lower Saxony","middle vocational","883","0.959985094207439","0.947334067436355","0.972636120978523"
"Yes","2005","Lower Saxony","vocational + Abi","104","0.952319111296461","0.912497835569078","0.992140387023845"
"Yes","2005","Lower Saxony","higher vocational","109","0.966931395415831","0.933666024751844","1.00019676607982"
"Yes","2005","Lower Saxony","higher education","280","0.923608258015609","0.893141673098458","0.954074842932759"
"Yes","2005","Bremen","in school","10","","",""
"Yes","2005","Bremen","inadequately","","","",""
"Yes","2005","Bremen","general elemantary","14","","",""
"Yes","2005","Bremen","middle vocational","71","1","1","1"
"Yes","2005","Bremen","vocational + Abi","10","","",""
"Yes","2005","Bremen","higher vocational","7","","",""
"Yes","2005","Bremen","higher education","30","0.919112394864194","0.824641418907482","1.01358337082091"
"Yes","2005","North Rhine-Westphalia","in school","123","0.80534985939226","0.739291436293085","0.871408282491436"
"Yes","2005","North Rhine-Westphalia","inadequately","38","0.506096429690761","0.399179576606602","0.613013282774919"
"Yes","2005","North Rhine-Westphalia","general elemantary","423","0.800856108597327","0.767510931178235","0.83420128601642"
"Yes","2005","North Rhine-Westphalia","middle vocational","1941","0.935343599157756","0.924782848033598","0.945904350281914"
"Yes","2005","North Rhine-Westphalia","vocational + Abi","297","0.908205835346315","0.876766361673818","0.939645309018811"
"Yes","2005","North Rhine-Westphalia","higher vocational","302","0.949326790915514","0.925105912641699","0.973547669189328"
"Yes","2005","North Rhine-Westphalia","higher education","771","0.897777242486562","0.877029816098353","0.91852466887477"
"Yes","2005","Hesse","in school","35","0.921087368818314","0.83421715219457","1.00795758544206"
"Yes","2005","Hesse","inadequately","2","","",""
"Yes","2005","Hesse","general elemantary","128","0.809765845528303","0.749139815991768","0.870391875064839"
"Yes","2005","Hesse","middle vocational","575","0.887070610511741","0.86249179439647","0.911649426627013"
"Yes","2005","Hesse","vocational + Abi","90","0.914482960794535","0.86047676138037","0.9684891602087"
"Yes","2005","Hesse","higher vocational","88","0.962198015077841","0.923226821433671","1.00116920872201"
"Yes","2005","Hesse","higher education","281","0.879076600683985","0.842605620371403","0.915547580996568"
"Yes","2005","Rhineland-Palatinate,Saarland","in school","25","","",""
"Yes","2005","Rhineland-Palatinate,Saarland","inadequately","10","","",""
"Yes","2005","Rhineland-Palatinate,Saarland","general elemantary","192","0.864203151130707","0.818305128759256","0.910101173502159"
"Yes","2005","Rhineland-Palatinate,Saarland","middle vocational","615","0.927785364471168","0.907840443436023","0.947730285506313"
"Yes","2005","Rhineland-Palatinate,Saarland","vocational + Abi","50","0.861365809745802","0.769197801854184","0.95353381763742"
"Yes","2005","Rhineland-Palatinate,Saarland","higher vocational","93","0.993621563456993","0.977528015896216","1.00971511101777"
"Yes","2005","Rhineland-Palatinate,Saarland","higher education","160","0.844638037739854","0.790183848396562","0.899092227083146"
"Yes","2005","Baden-Württemberg","in school","90","0.918711138034066","0.865677304914476","0.971744971153656"
"Yes","2005","Baden-Württemberg","inadequately","12","","",""
"Yes","2005","Baden-Württemberg","general elemantary","252","0.746410234152367","0.703559807334583","0.789260660970151"
"Yes","2005","Baden-Württemberg","middle vocational","998","0.879310773529182","0.860564085791273","0.898057461267091"
"Yes","2005","Baden-Württemberg","vocational + Abi","119","0.830187325951173","0.769490983193721","0.890883668708626"
