"plj0014_v3","year","bula_h","migback","n","percent","lower_confidence","upper_confidence"
"Yes","2006","Bavaria","no migration background","2677","0.999663318683403","0.998968617368489","1.00035801999832"
"Yes","2006","Bavaria","direct migration background","169","0.37639257446548","0.325708596292005","0.427076552638955"
"Yes","2006","Bavaria","indirect migration background","86","0.677632317909633","0.596345703790051","0.758918932029214"
"Yes","2006","Berlin","no migration background","692","1","1","1"
"Yes","2006","Berlin","direct migration background","25","","",""
"Yes","2006","Berlin","indirect migration background","29","","",""
"Yes","2006","Brandenburg","no migration background","920","0.997820410323261","0.994808570726822","1.0008322499197"
"Yes","2006","Brandenburg","direct migration background","15","","",""
"Yes","2006","Brandenburg","indirect migration background","7","","",""
"Yes","2006","Mecklenburg-Western Pomerania","no migration background","538","1","1","1"
"Yes","2006","Mecklenburg-Western Pomerania","direct migration background","12","","",""
"Yes","2006","Mecklenburg-Western Pomerania","indirect migration background","2","","",""
"Yes","2006","Saxony","no migration background","1549","1","1","1"
"Yes","2006","Saxony","direct migration background","26","","",""
"Yes","2006","Saxony","indirect migration background","6","","",""
"Yes","2006","Saxony-Anhalt","no migration background","881","1","1","1"
"Yes","2006","Saxony-Anhalt","direct migration background","22","","",""
"Yes","2006","Saxony-Anhalt","indirect migration background","7","","",""
"Yes","2006","Thuringia","no migration background","929","1","1","1"
"Yes","2006","Thuringia","direct migration background","15","","",""
"Yes","2006","Thuringia","indirect migration background","8","","",""
"No","2006","Schleswig-Holstein","no migration background","","","",""
"No","2006","Schleswig-Holstein","direct migration background","23","","",""
"No","2006","Schleswig-Holstein","indirect migration background","3","","",""
"No","2006","Hamburg","no migration background","","","",""
"No","2006","Hamburg","direct migration background","17","","",""
"No","2006","Hamburg","indirect migration background","3","","",""
"No","2006","Lower Saxony","no migration background","1","","",""
"No","2006","Lower Saxony","direct migration background","70","0.411081589169514","0.34254743218758","0.479615746151449"
"No","2006","Lower Saxony","indirect migration background","17","","",""
"No","2006","Bremen","no migration background","","","",""
"No","2006","Bremen","direct migration background","2","","",""
"No","2006","Bremen","indirect migration background","1","","",""
"No","2006","North Rhine-Westphalia","no migration background","1","","",""
"No","2006","North Rhine-Westphalia","direct migration background","301","0.498140772253042","0.459966357685017","0.536315186821068"
"No","2006","North Rhine-Westphalia","indirect migration background","112","0.536594664077023","0.472839135625207","0.600350192528839"
"No","2006","Hesse","no migration background","","","",""
"No","2006","Hesse","direct migration background","114","0.542153962028189","0.475865297112564","0.608442626943815"
"No","2006","Hesse","indirect migration background","33","0.490766868100404","0.376088209373205","0.605445526827602"
"No","2006","Rhineland-Palatinate,Saarland","no migration background","2","","",""
"No","2006","Rhineland-Palatinate,Saarland","direct migration background","63","0.466260965501162","0.393383904395894","0.539138026606429"
"No","2006","Rhineland-Palatinate,Saarland","indirect migration background","10","","",""
"No","2006","Baden-Württemberg","no migration background","3","","",""
"No","2006","Baden-Württemberg","direct migration background","317","0.605702709354473","0.56385958528616","0.647545833422786"
"No","2006","Baden-Württemberg","indirect migration background","93","0.44615147941792","0.377938082693175","0.514364876142665"
"No","2006","Bavaria","no migration background","2","","",""
"No","2006","Bavaria","direct migration background","182","0.62360742553452","0.572923447361045","0.674291403707995"
"No","2006","Bavaria","indirect migration background","41","0.322367682090368","0.241081067970786","0.403654296209949"
"No","2006","Berlin","no migration background","","","",""
"No","2006","Berlin","direct migration background","35","0.580468848363192","0.455602896610428","0.705334800115956"
"No","2006","Berlin","indirect migration background","6","","",""
"No","2006","Brandenburg","no migration background","1","","",""
"No","2006","Brandenburg","direct migration background","2","","",""
"No","2006","Brandenburg","indirect migration background","","","",""
"No","2006","Mecklenburg-Western Pomerania","no migration background","","","",""
"No","2006","Mecklenburg-Western Pomerania","direct migration background","1","","",""
"No","2006","Mecklenburg-Western Pomerania","indirect migration background","","","",""
"No","2006","Saxony","no migration background","","","",""
"No","2006","Saxony","direct migration background","4","","",""
"No","2006","Saxony","indirect migration background","1","","",""
"No","2006","Saxony-Anhalt","no migration background","","","",""
"No","2006","Saxony-Anhalt","direct migration background","7","","",""
"No","2006","Saxony-Anhalt","indirect migration background","","","",""
"No","2006","Thuringia","no migration background","","","",""
"No","2006","Thuringia","direct migration background","2","","",""
"No","2006","Thuringia","indirect migration background","","","",""
"Yes","2007","Schleswig-Holstein","no migration background","557","1","1","1"
"Yes","2007","Schleswig-Holstein","direct migration background","29","","",""
"Yes","2007","Schleswig-Holstein","indirect migration background","7","","",""
"Yes","2007","Hamburg","no migration background","263","1","1","1"
"Yes","2007","Hamburg","direct migration background","9","","",""
"Yes","2007","Hamburg","indirect migration background","4","","",""
"Yes","2007","Lower Saxony","no migration background","1610","0.998525746997972","0.996652194076093","1.00039929991985"
"Yes","2007","Lower Saxony","direct migration background","118","0.5718081432546","0.498704987206572","0.644911299302627"
"Yes","2007","Lower Saxony","indirect migration background","41","0.789215397390412","0.679409068368504","0.899021726412321"
"Yes","2007","Bremen","no migration background","132","1","1","1"
"Yes","2007","Bremen","direct migration background","10","","",""
"Yes","2007","Bremen","indirect migration background","4","","",""
"Yes","2007","North Rhine-Westphalia","no migration background","3429","0.999433659916728","0.998637470011113","1.00022984982234"
"Yes","2007","North Rhine-Westphalia","direct migration background","317","0.522996607657244","0.482100596576991","0.563892618737497"
"Yes","2007","North Rhine-Westphalia","indirect migration background","127","0.518294143109384","0.451965829093518","0.584622457125251"
"Yes","2007","Hesse","no migration background","1129","1","1","1"
"Yes","2007","Hesse","direct migration background","95","0.428976232617511","0.359863401149425","0.498089064085598"
"Yes","2007","Hesse","indirect migration background","40","0.529533618162999","0.415035663891106","0.644031572434892"
"Yes","2007","Rhineland-Palatinate,Saarland","no migration background","981","0.998055789203352","0.995300663417488","1.00081091498922"
"Yes","2007","Rhineland-Palatinate,Saarland","direct migration background","100","0.535416672861383","0.455867187784994","0.614966157937771"
"Yes","2007","Rhineland-Palatinate,Saarland","indirect migration background","36","0.777698678174827","0.658827692197144","0.89656966415251"
"Yes","2007","Baden-Württemberg","no migration background","1840","0.996305427125772","0.993535529040457","0.999075325211088"
"Yes","2007","Baden-Württemberg","direct migration background","197","0.377199892656304","0.333520394475295","0.420879390837314"
"Yes","2007","Baden-Württemberg","indirect migration background","107","0.537917008739432","0.467026364952163","0.608807652526702"
"Yes","2007","Bavaria","no migration background","2515","0.997983345980299","0.996231089909455","0.999735602051144"
"Yes","2007","Bavaria","direct migration background","158","0.354221203157287","0.302928684475493","0.40551372183908"
"Yes","2007","Bavaria","indirect migration background","87","0.688443476725272","0.605233159187701","0.771653794262842"
"Yes","2007","Berlin","no migration background","668","1","1","1"
"Yes","2007","Berlin","direct migration background","26","","",""
"Yes","2007","Berlin","indirect migration background","25","","",""
"Yes","2007","Brandenburg","no migration background","842","0.997629017715857","0.994345926156193","1.00091210927552"
"Yes","2007","Brandenburg","direct migration background","12","","",""
"Yes","2007","Brandenburg","indirect migration background","8","","",""
"Yes","2007","Mecklenburg-Western Pomerania","no migration background","504","1","1","1"
"Yes","2007","Mecklenburg-Western Pomerania","direct migration background","7","","",""
"Yes","2007","Mecklenburg-Western Pomerania","indirect migration background","1","","",""
"Yes","2007","Saxony","no migration background","1480","1","1","1"
"Yes","2007","Saxony","direct migration background","24","","",""
"Yes","2007","Saxony","indirect migration background","9","","",""
"Yes","2007","Saxony-Anhalt","no migration background","848","1","1","1"
"Yes","2007","Saxony-Anhalt","direct migration background","19","","",""
"Yes","2007","Saxony-Anhalt","indirect migration background","8","","",""
"Yes","2007","Thuringia","no migration background","892","1","1","1"
