"erwst","year","bula_h","pgcasmin","n","percent","lower_confidence","upper_confidence"
"Non-working","1984","Hesse","(1c) basic vocational qualification","135","0.414791240598889","0.366018713938724","0.463563767259055"
"Non-working","1984","Hesse","(2b) intermediate general qualification","22","","",""
"Non-working","1984","Hesse","(2a) intermediate vocational","42","0.312333376587143","0.237159000169434","0.387507753004852"
"Non-working","1984","Hesse","(2c_gen) general maturity certificate","38","0.691126838255627","0.573233015229796","0.809020661281458"
"Non-working","1984","Hesse","(2c_voc) vocational maturity certificate","12","","",""
"Non-working","1984","Hesse","(3a) lower tertiary education","5","","",""
"Non-working","1984","Hesse","(3b) higher tertiary education","20","","",""
"Non-working","1984","Rhineland-Palatinate,Saarland","(0) in school","6","","",""
"Non-working","1984","Rhineland-Palatinate,Saarland","(1a) inadequately completed","22","","",""
"Non-working","1984","Rhineland-Palatinate,Saarland","(1b) general elementary school","174","0.718265655660063","0.664508733229566","0.772022578090559"
"Non-working","1984","Rhineland-Palatinate,Saarland","(1c) basic vocational qualification","120","0.408062905327349","0.354630128126961","0.461495682527737"
"Non-working","1984","Rhineland-Palatinate,Saarland","(2b) intermediate general qualification","15","","",""
"Non-working","1984","Rhineland-Palatinate,Saarland","(2a) intermediate vocational","29","","",""
"Non-working","1984","Rhineland-Palatinate,Saarland","(2c_gen) general maturity certificate","10","","",""
"Non-working","1984","Rhineland-Palatinate,Saarland","(2c_voc) vocational maturity certificate","8","","",""
"Non-working","1984","Rhineland-Palatinate,Saarland","(3a) lower tertiary education","6","","",""
"Non-working","1984","Rhineland-Palatinate,Saarland","(3b) higher tertiary education","5","","",""
"Non-working","1984","Baden-Württemberg","(0) in school","35","1","1","1"
"Non-working","1984","Baden-Württemberg","(1a) inadequately completed","106","0.349909266275989","0.296731075101595","0.403087457450384"
"Non-working","1984","Baden-Württemberg","(1b) general elementary school","277","0.581009919860192","0.542235389813306","0.619784449907078"
"Non-working","1984","Baden-Württemberg","(1c) basic vocational qualification","202","0.319915210321999","0.286262590013342","0.353567830630657"
"Non-working","1984","Baden-Württemberg","(2b) intermediate general qualification","41","0.576078847570358","0.465699903131448","0.686457792009269"
"Non-working","1984","Baden-Württemberg","(2a) intermediate vocational","73","0.403217314645533","0.336230060752344","0.470204568538723"
"Non-working","1984","Baden-Württemberg","(2c_gen) general maturity certificate","32","0.620505799880768","0.495620998265345","0.745390601496191"
"Non-working","1984","Baden-Württemberg","(2c_voc) vocational maturity certificate","23","","",""
"Non-working","1984","Baden-Württemberg","(3a) lower tertiary education","8","","",""
"Non-working","1984","Baden-Württemberg","(3b) higher tertiary education","15","","",""
"Non-working","1984","Bavaria","(0) in school","22","","",""
"Non-working","1984","Bavaria","(1a) inadequately completed","34","0.389615298480084","0.299300503496139","0.479930093464028"
"Non-working","1984","Bavaria","(1b) general elementary school","258","0.614556765266257","0.571939022500488","0.657174508032027"
"Non-working","1984","Bavaria","(1c) basic vocational qualification","271","0.382090319521732","0.348314177380319","0.415866461663145"
"Non-working","1984","Bavaria","(2b) intermediate general qualification","42","0.434978490928645","0.334759379994135","0.535197601863155"
"Non-working","1984","Bavaria","(2a) intermediate vocational","91","0.365066752552791","0.308267355472768","0.421866149632815"
"Non-working","1984","Bavaria","(2c_gen) general maturity certificate","39","0.746380086727822","0.634409026337662","0.858351147117982"
"Non-working","1984","Bavaria","(2c_voc) vocational maturity certificate","30","0.423897962580594","0.316279706109133","0.531516219052054"
"Non-working","1984","Bavaria","(3a) lower tertiary education","15","","",""
"Non-working","1984","Bavaria","(3b) higher tertiary education","25","","",""
"Non-working","1984","Berlin","(0) in school","7","","",""
"Non-working","1984","Berlin","(1a) inadequately completed","19","","",""
"Non-working","1984","Berlin","(1b) general elementary school","38","0.509772746603025","0.407622078864136","0.611923414341914"
"Non-working","1984","Berlin","(1c) basic vocational qualification","37","0.411960554078319","0.323898560155983","0.500022548000654"
"Non-working","1984","Berlin","(2b) intermediate general qualification","5","","",""
"Non-working","1984","Berlin","(2a) intermediate vocational","19","","",""
"Non-working","1984","Berlin","(2c_gen) general maturity certificate","6","","",""
"Non-working","1984","Berlin","(2c_voc) vocational maturity certificate","6","","",""
"Non-working","1984","Berlin","(3a) lower tertiary education","3","","",""
"Non-working","1984","Berlin","(3b) higher tertiary education","5","","",""
"Non-working","1984","Brandenburg","(0) in school","","","",""
"Non-working","1984","Brandenburg","(1a) inadequately completed","","","",""
"Non-working","1984","Brandenburg","(1b) general elementary school","","","",""
"Non-working","1984","Brandenburg","(1c) basic vocational qualification","","","",""
"Non-working","1984","Brandenburg","(2b) intermediate general qualification","","","",""
"Non-working","1984","Brandenburg","(2a) intermediate vocational","","","",""
"Non-working","1984","Brandenburg","(2c_gen) general maturity certificate","","","",""
"Non-working","1984","Brandenburg","(2c_voc) vocational maturity certificate","","","",""
"Non-working","1984","Brandenburg","(3a) lower tertiary education","","","",""
"Non-working","1984","Brandenburg","(3b) higher tertiary education","","","",""
"Non-working","1984","Mecklenburg-Western Pomerania","(0) in school","","","",""
"Non-working","1984","Mecklenburg-Western Pomerania","(1a) inadequately completed","","","",""
"Non-working","1984","Mecklenburg-Western Pomerania","(1b) general elementary school","","","",""
"Non-working","1984","Mecklenburg-Western Pomerania","(1c) basic vocational qualification","","","",""
"Non-working","1984","Mecklenburg-Western Pomerania","(2b) intermediate general qualification","","","",""
"Non-working","1984","Mecklenburg-Western Pomerania","(2a) intermediate vocational","","","",""
"Non-working","1984","Mecklenburg-Western Pomerania","(2c_gen) general maturity certificate","","","",""
"Non-working","1984","Mecklenburg-Western Pomerania","(2c_voc) vocational maturity certificate","","","",""
"Non-working","1984","Mecklenburg-Western Pomerania","(3a) lower tertiary education","","","",""
"Non-working","1984","Mecklenburg-Western Pomerania","(3b) higher tertiary education","","","",""
"Non-working","1984","Saxony","(0) in school","","","",""
"Non-working","1984","Saxony","(1a) inadequately completed","","","",""
"Non-working","1984","Saxony","(1b) general elementary school","","","",""
"Non-working","1984","Saxony","(1c) basic vocational qualification","","","",""
"Non-working","1984","Saxony","(2b) intermediate general qualification","","","",""
"Non-working","1984","Saxony","(2a) intermediate vocational","","","",""
"Non-working","1984","Saxony","(2c_gen) general maturity certificate","","","",""
"Non-working","1984","Saxony","(2c_voc) vocational maturity certificate","","","",""
"Non-working","1984","Saxony","(3a) lower tertiary education","","","",""
"Non-working","1984","Saxony","(3b) higher tertiary education","","","",""
"Non-working","1984","Saxony-Anhalt","(0) in school","","","",""
"Non-working","1984","Saxony-Anhalt","(1a) inadequately completed","","","",""
"Non-working","1984","Saxony-Anhalt","(1b) general elementary school","","","",""
"Non-working","1984","Saxony-Anhalt","(1c) basic vocational qualification","","","",""
"Non-working","1984","Saxony-Anhalt","(2b) intermediate general qualification","","","",""
"Non-working","1984","Saxony-Anhalt","(2a) intermediate vocational","","","",""
"Non-working","1984","Saxony-Anhalt","(2c_gen) general maturity certificate","","","",""
"Non-working","1984","Saxony-Anhalt","(2c_voc) vocational maturity certificate","","","",""
"Non-working","1984","Saxony-Anhalt","(3a) lower tertiary education","","","",""
"Non-working","1984","Saxony-Anhalt","(3b) higher tertiary education","","","",""
"Non-working","1984","Thuringia","(0) in school","","","",""
"Non-working","1984","Thuringia","(1a) inadequately completed","","","",""
"Non-working","1984","Thuringia","(1b) general elementary school","","","",""
"Non-working","1984","Thuringia","(1c) basic vocational qualification","","","",""
"Non-working","1984","Thuringia","(2b) intermediate general qualification","","","",""
"Non-working","1984","Thuringia","(2a) intermediate vocational","","","",""
"Non-working","1984","Thuringia","(2c_gen) general maturity certificate","","","",""
"Non-working","1984","Thuringia","(2c_voc) vocational maturity certificate","","","",""
"Non-working","1984","Thuringia","(3a) lower tertiary education","","","",""
"Non-working","1984","Thuringia","(3b) higher tertiary education","","","",""
"Other","1984","Schleswig-Holstein","(0) in school","","","",""
"Other","1984","Schleswig-Holstein","(1a) inadequately completed","","","",""
"Other","1984","Schleswig-Holstein","(1b) general elementary school","4","","",""
"Other","1984","Schleswig-Holstein","(1c) basic vocational qualification","3","","",""
"Other","1984","Schleswig-Holstein","(2b) intermediate general qualification","6","","",""
"Other","1984","Schleswig-Holstein","(2a) intermediate vocational","8","","",""
"Other","1984","Schleswig-Holstein","(2c_gen) general maturity certificate","2","","",""
"Other","1984","Schleswig-Holstein","(2c_voc) vocational maturity certificate","2","","",""
"Other","1984","Schleswig-Holstein","(3a) lower tertiary education","","","",""
"Other","1984","Schleswig-Holstein","(3b) higher tertiary education","","","",""
"Other","1984","Hamburg","(0) in school","","","",""
"Other","1984","Hamburg","(1a) inadequately completed","","","",""
"Other","1984","Hamburg","(1b) general elementary school","7","","",""
"Other","1984","Hamburg","(1c) basic vocational qualification","4","","",""
"Other","1984","Hamburg","(2b) intermediate general qualification","2","","",""
"Other","1984","Hamburg","(2a) intermediate vocational","2","","",""
"Other","1984","Hamburg","(2c_gen) general maturity certificate","2","","",""
"Other","1984","Hamburg","(2c_voc) vocational maturity certificate","","","",""
"Other","1984","Hamburg","(3a) lower tertiary education","","","",""
"Other","1984","Hamburg","(3b) higher tertiary education","","","",""
"Other","1984","Lower Saxony","(0) in school","","","",""
"Other","1984","Lower Saxony","(1a) inadequately completed","1","","",""
"Other","1984","Lower Saxony","(1b) general elementary school","28","","",""
"Other","1984","Lower Saxony","(1c) basic vocational qualification","18","","",""
"Other","1984","Lower Saxony","(2b) intermediate general qualification","21","","",""
"Other","1984","Lower Saxony","(2a) intermediate vocational","10","","",""
"Other","1984","Lower Saxony","(2c_gen) general maturity certificate","8","","",""
"Other","1984","Lower Saxony","(2c_voc) vocational maturity certificate","1","","",""
"Other","1984","Lower Saxony","(3a) lower tertiary education","1","","",""
"Other","1984","Lower Saxony","(3b) higher tertiary education","2","","",""
"Other","1984","Bremen","(0) in school","","","",""
"Other","1984","Bremen","(1a) inadequately completed","","","",""
"Other","1984","Bremen","(1b) general elementary school","3","","",""
"Other","1984","Bremen","(1c) basic vocational qualification","3","","",""
"Other","1984","Bremen","(2b) intermediate general qualification","3","","",""
"Other","1984","Bremen","(2a) intermediate vocational","1","","",""
"Other","1984","Bremen","(2c_gen) general maturity certificate","","","",""
"Other","1984","Bremen","(2c_voc) vocational maturity certificate","","","",""
"Other","1984","Bremen","(3a) lower tertiary education","","","",""
"Other","1984","Bremen","(3b) higher tertiary education","","","",""
"Other","1984","North Rhine-Westphalia","(0) in school","","","",""
"Other","1984","North Rhine-Westphalia","(1a) inadequately completed","7","","",""
"Other","1984","North Rhine-Westphalia","(1b) general elementary school","55","0.073035902145987","0.0543393605873367","0.0917324437046373"
