"pli0092_h","year","e11103","pgisced97","n","percent","lower_confidence","upper_confidence"
"Never","1988","Full Time","higher vocational","111","0.387746151888967","0.331861033509222","0.443631270268712"
"Never","1988","Full Time","higher education","120","0.28784213587103","0.244746778722296","0.330937493019765"
"Never","1988","Part Time","in school","2","","",""
"Never","1988","Part Time","inadequately","90","0.892067037889883","0.831250193066714","0.952883882713051"
"Never","1988","Part Time","general elemantary","341","0.628610090969906","0.588733845300227","0.668486336639584"
"Never","1988","Part Time","middle vocational","395","0.471065415170983","0.43704520998131","0.505085620360656"
"Never","1988","Part Time","vocational + Abi","29","","",""
"Never","1988","Part Time","higher vocational","28","","",""
"Never","1988","Part Time","higher education","48","0.332561837817417","0.255877651620693","0.40924602401414"
"Never","1988","Not Working","in school","20","","",""
"Never","1988","Not Working","inadequately","271","0.821458641572486","0.778050142900531","0.864867140244442"
"Never","1988","Not Working","general elemantary","875","0.786094850817154","0.762845424894606","0.809344276739701"
"Never","1988","Not Working","middle vocational","968","0.691807777320667","0.668322893195518","0.715292661445816"
"Never","1988","Not Working","vocational + Abi","42","0.583968915649506","0.468502196339361","0.699435634959652"
