"year","pgcasmin","pgisced97","mean","median","n","lowerci_mean","upperci_mean","ptile10","ptile25","ptile75","ptile90"
"2009","(1a) inadequately completed","in school","","","","","","","","",""
"2009","(1a) inadequately completed","inadequately","4.03","4","126","3.56","4.5","0","2","6","7"
"2009","(1a) inadequately completed","middle vocational","5.1","6","37","4.15","6.05","2","2","7","9"
"2009","(1a) inadequately completed","vocational + Abi","","","","","","","","",""
"2009","(1b) general elementary school","general elemantary","4.89","5","1347","4.75","5.03","1","3","7","8"
"2009","(1b) general elementary school","higher education","","","","","","","","",""
"2009","(1b) general elementary school","higher vocational","","","","","","","","",""
"2009","(1b) general elementary school","in school","","","","","","","","",""
"2009","(1b) general elementary school","inadequately","4.36","5","34","3.39","5.33","1","3","6","7"
"2009","(1b) general elementary school","middle vocational","","","","","","","","",""
"2009","(1b) general elementary school","vocational + Abi","","","","","","","","",""
"2009","(1c) basic vocational qualification","general elemantary","","","","","","","","",""
"2009","(1c) basic vocational qualification","higher education","","","","","","","","",""
"2009","(1c) basic vocational qualification","higher vocational","5.9","6","398","5.68","6.12","2","5","8","9"
"2009","(1c) basic vocational qualification","in school","","","","","","","","",""
"2009","(1c) basic vocational qualification","inadequately","","","","","","","","",""
"2009","(1c) basic vocational qualification","middle vocational","5.55","6","4368","5.48","5.62","2","4","7","8"
"2009","(1c) basic vocational qualification","vocational + Abi","","","","","","","","",""
"2009","(2a) intermediate vocational","general elemantary","","","","","","","","",""
"2009","(2a) intermediate vocational","higher education","","","","","","","","",""
"2009","(2a) intermediate vocational","higher vocational","5.64","6","589","5.44","5.84","2","4","8","9"
"2009","(2a) intermediate vocational","in school","","","","","","","","",""
"2009","(2a) intermediate vocational","inadequately","","","","","","","","",""
"2009","(2a) intermediate vocational","middle vocational","5.66","6","3731","5.58","5.74","2","4","8","8"
"2009","(2a) intermediate vocational","vocational + Abi","","","","","","","","",""
"2009","(2b) intermediate general qualification","general elemantary","4.98","5","413","4.71","5.25","0","3","7","8"
"2009","(2b) intermediate general qualification","higher education","","","","","","","","",""
"2009","(2b) intermediate general qualification","higher vocational","","","","","","","","",""
"2009","(2b) intermediate general qualification","in school","","","","","","","","",""
