"plh0204_h","year","age_gr","education","n","percent","lower_confidence","upper_confidence"
"2","2006","66 and older","lower secondary degree","383","0.13827615240783","0.12549266830019","0.151059636515471"
"2","2006","66 and older","secondary school degree","51","0.0737439556208197","0.0538799874526333","0.0936079237890061"
"2","2006","66 and older","college entrance qualification","50","0.0818698164323864","0.0611408572990208","0.102598775565752"
"2","2006","66 and older","Other degree","21","","",""
"2","2006","66 and older","no degree/no degree yet","21","","",""
"3","2006","16-34 y.","lower secondary degree","86","0.102677689357088","0.0829127143920299","0.122442664322147"
"3","2006","16-34 y.","secondary school degree","149","0.0817938482811448","0.068357225549785","0.0952304710125045"
"3","2006","16-34 y.","college entrance qualification","193","0.112912891580022","0.0975250995878571","0.128300683572187"
"3","2006","16-34 y.","Other degree","16","","",""
"3","2006","16-34 y.","no degree/no degree yet","34","0.0997355339053919","0.071280880223096","0.128190187587688"
"3","2006","35-65 y.","lower secondary degree","512","0.12578878272022","0.115350493280298","0.136227072160141"
"3","2006","35-65 y.","secondary school degree","520","0.121626660178321","0.111736932917344","0.131516387439299"
"3","2006","35-65 y.","college entrance qualification","416","0.126486686447834","0.115157775430292","0.137815597465375"
"3","2006","35-65 y.","Other degree","90","0.108268485901972","0.0867101748137132","0.129826796990232"
