"ple0098_v5","year","e11102","pgcasmin","n","percent","lower_confidence","upper_confidence"
"No","2005","Employed","(2a) intermediate vocational","2671","0.832562020107785","0.81960144658253","0.84552259363304"
"No","2005","Employed","(2c_gen) general maturity certificate","330","0.850077882889578","0.814737823972244","0.885417941806911"
"No","2005","Employed","(2c_voc) vocational maturity certificate","768","0.826768899651999","0.802891367853323","0.850646431450675"
"No","2005","Employed","(3a) lower tertiary education","706","0.792609668425479","0.765837467691823","0.819381869159136"
"No","2005","Employed","(3b) higher tertiary education","802","0.757765335840464","0.731838718376417","0.783691953304512"
"Yes","2006","Not Employed","(0) in school","19","","",""
"Yes","2006","Not Employed","(1a) inadequately completed","5","","",""
"Yes","2006","Not Employed","(1b) general elementary school","36","0.0322210415742518","0.0224160563127487","0.042026026835755"
"Yes","2006","Not Employed","(1c) basic vocational qualification","260","0.0810548643480538","0.0712113381657247","0.0908983905303828"
"Yes","2006","Not Employed","(2b) intermediate general qualification","16","","",""
"Yes","2006","Not Employed","(2a) intermediate vocational","219","0.173466142112958","0.151988647842208","0.194943636383709"
"Yes","2006","Not Employed","(2c_gen) general maturity certificate","47","0.1138615018104","0.0785019704518245","0.149221033168975"
