"pgoeffd","year","hgtyp1hh","pgcasmin","n","percent","lower_confidence","upper_confidence"
"Yes","2014","Single parent ","(2b) intermediate general qualification","13","","",""
"Yes","2014","Single parent ","(2a) intermediate vocational","111","0.271612460733287","0.23118488368879","0.312040037777785"
"Yes","2014","Single parent ","(2c_gen) general maturity certificate","10","","",""
"Yes","2014","Single parent ","(2c_voc) vocational maturity certificate","58","0.336050343542664","0.26419421839254","0.407906468692787"
"Yes","2014","Single parent ","(3a) lower tertiary education","49","0.498663371504903","0.402103221625051","0.595223521384756"
"Yes","2014","Single parent ","(3b) higher tertiary education","71","0.422241661931764","0.348641513279402","0.495841810584126"
"Yes","2014","Couple + C. LE 16 ","(0) in school","","","",""
"Yes","2014","Couple + C. LE 16 ","(1a) inadequately completed","3","","",""
"Yes","2014","Couple + C. LE 16 ","(1b) general elementary school","26","","",""
"Yes","2014","Couple + C. LE 16 ","(1c) basic vocational qualification","104","0.153814546271303","0.128830468965536","0.178798623577069"
"Yes","2014","Couple + C. LE 16 ","(2b) intermediate general qualification","14","","",""
"Yes","2014","Couple + C. LE 16 ","(2a) intermediate vocational","276","0.199874685253314","0.178620887735849","0.221128482770779"
"Yes","2014","Couple + C. LE 16 ","(2c_gen) general maturity certificate","27","","",""
"Yes","2014","Couple + C. LE 16 ","(2c_voc) vocational maturity certificate","143","0.224261147241668","0.193450802836432","0.255071491646905"
"Yes","2014","Couple + C. LE 16 ","(3a) lower tertiary education","126","0.360235968584177","0.315277192230388","0.405194744937966"
"Yes","2014","Couple + C. LE 16 ","(3b) higher tertiary education","383","0.390254932596284","0.360721372751285","0.419788492441284"
"Yes","2014","Couple + C. GT 16 ","(0) in school","","","",""
"Yes","2014","Couple + C. GT 16 ","(1a) inadequately completed","5","","",""
"Yes","2014","Couple + C. GT 16 ","(1b) general elementary school","18","","",""
"Yes","2014","Couple + C. GT 16 ","(1c) basic vocational qualification","65","0.168263434957441","0.131648043871087","0.204878826043794"
"Yes","2014","Couple + C. GT 16 ","(2b) intermediate general qualification","13","","",""
"Yes","2014","Couple + C. GT 16 ","(2a) intermediate vocational","107","0.203352920725828","0.168073513432845","0.238632328018811"
"Yes","2014","Couple + C. GT 16 ","(2c_gen) general maturity certificate","30","0.20618209375916","0.139405470651274","0.272958716867046"
"Yes","2014","Couple + C. GT 16 ","(2c_voc) vocational maturity certificate","39","0.224652466650713","0.165151915383346","0.28415301791808"
"Yes","2014","Couple + C. GT 16 ","(3a) lower tertiary education","54","0.335513165400421","0.256447891276029","0.414578439524814"
"Yes","2014","Couple + C. GT 16 ","(3b) higher tertiary education","83","0.379715418879961","0.316581932667894","0.442848905092028"
"Yes","2014","Couple + C. LE and GT 16","(0) in school","3","","",""
"Yes","2014","Couple + C. LE and GT 16","(1a) inadequately completed","1","","",""
"Yes","2014","Couple + C. LE and GT 16","(1b) general elementary school","12","","",""
"Yes","2014","Couple + C. LE and GT 16","(1c) basic vocational qualification","40","0.117650186026854","0.0797760790605897","0.155524292993117"
"Yes","2014","Couple + C. LE and GT 16","(2b) intermediate general qualification","11","","",""
"Yes","2014","Couple + C. LE and GT 16","(2a) intermediate vocational","74","0.223232213381843","0.177607816354696","0.268856610408991"
"Yes","2014","Couple + C. LE and GT 16","(2c_gen) general maturity certificate","27","","",""
"Yes","2014","Couple + C. LE and GT 16","(2c_voc) vocational maturity certificate","47","0.295756301774201","0.224368048943946","0.367144554604457"
"Yes","2014","Couple + C. LE and GT 16","(3a) lower tertiary education","37","0.405919015281123","0.308194224815487","0.503643805746759"
"Yes","2014","Couple + C. LE and GT 16","(3b) higher tertiary education","65","0.3417047132018","0.272030199327492","0.411379227076107"
"No","2014","1-pers.-HH","(0) in school","1","","",""
"No","2014","1-pers.-HH","(1a) inadequately completed","11","","",""
"No","2014","1-pers.-HH","(1b) general elementary school","69","0.866467377817707","0.790980652358789","0.941954103276626"
"No","2014","1-pers.-HH","(1c) basic vocational qualification","203","0.777505783081934","0.726949795947048","0.82806177021682"
"No","2014","1-pers.-HH","(2b) intermediate general qualification","28","","",""
"No","2014","1-pers.-HH","(2a) intermediate vocational","295","0.76279954601081","0.720637402397231","0.80496168962439"
"No","2014","1-pers.-HH","(2c_gen) general maturity certificate","63","0.715172588389838","0.619224804149745","0.811120372629931"
"No","2014","1-pers.-HH","(2c_voc) vocational maturity certificate","123","0.714704017414334","0.647801877932571","0.781606156896097"
"No","2014","1-pers.-HH","(3a) lower tertiary education","102","0.645424135015697","0.57175801945553","0.719090250575863"
"No","2014","1-pers.-HH","(3b) higher tertiary education","153","0.527277808921157","0.469717659642029","0.584837958200285"
"No","2014","(Married) couple without C. ","(0) in school","4","","",""
"No","2014","(Married) couple without C. ","(1a) inadequately completed","27","","",""
"No","2014","(Married) couple without C. ","(1b) general elementary school","114","0.775933573767549","0.705855960442713","0.846011187092384"
"No","2014","(Married) couple without C. ","(1c) basic vocational qualification","542","0.833628755262913","0.805302476311597","0.861955034214229"
"No","2014","(Married) couple without C. ","(2b) intermediate general qualification","44","0.926976118307238","0.854860419033801","0.999091817580676"
"No","2014","(Married) couple without C. ","(2a) intermediate vocational","689","0.743146640673795","0.715217083577714","0.771076197769875"
"No","2014","(Married) couple without C. ","(2c_gen) general maturity certificate","100","0.659431674582741","0.577011551372144","0.741851797793338"
"No","2014","(Married) couple without C. ","(2c_voc) vocational maturity certificate","276","0.760831396950442","0.717188722615474","0.80447407128541"
"No","2014","(Married) couple without C. ","(3a) lower tertiary education","198","0.565019539799182","0.511204223308371","0.618834856289993"
"No","2014","(Married) couple without C. ","(3b) higher tertiary education","365","0.574234302007837","0.536280595610894","0.61218800840478"
"No","2014","Single parent ","(0) in school","15","","",""
"No","2014","Single parent ","(1a) inadequately completed","15","","",""
"No","2014","Single parent ","(1b) general elementary school","84","0.848660705382438","0.778065794646434","0.919255616118443"
"No","2014","Single parent ","(1c) basic vocational qualification","210","0.842305870425414","0.797661080343938","0.886950660506891"
"No","2014","Single parent ","(2b) intermediate general qualification","81","0.902793172821959","0.842906983172033","0.962679362471885"
"No","2014","Single parent ","(2a) intermediate vocational","354","0.728387539266713","0.687959962222215","0.76881511631121"
"No","2014","Single parent ","(2c_gen) general maturity certificate","66","0.865578709579353","0.788890498356697","0.94226692080201"
"No","2014","Single parent ","(2c_voc) vocational maturity certificate","108","0.663949656457336","0.592093531307213","0.73580578160746"
"No","2014","Single parent ","(3a) lower tertiary education","54","0.501336628495097","0.404776478615244","0.597896778374949"
"No","2014","Single parent ","(3b) higher tertiary education","102","0.577758338068236","0.504158189415874","0.651358486720598"
"No","2014","Couple + C. LE 16 ","(0) in school","","","",""
"No","2014","Couple + C. LE 16 ","(1a) inadequately completed","61","0.907087031598247","0.835962281966611","0.978211781229882"
"No","2014","Couple + C. LE 16 ","(1b) general elementary school","269","0.902210053784231","0.868314868065517","0.936105239502945"
"No","2014","Couple + C. LE 16 ","(1c) basic vocational qualification","697","0.846185453728697","0.821201376422931","0.871169531034464"
"No","2014","Couple + C. LE 16 ","(2b) intermediate general qualification","61","0.818172354833828","0.730881284844383","0.905463424823272"
"No","2014","Couple + C. LE 16 ","(2a) intermediate vocational","1084","0.800125314746686","0.778871517229221","0.821379112264151"
"No","2014","Couple + C. LE 16 ","(2c_gen) general maturity certificate","144","0.86635246424403","0.815351566471596","0.917353362016463"
"No","2014","Couple + C. LE 16 ","(2c_voc) vocational maturity certificate","561","0.775738852758332","0.744928508353095","0.806549197163568"
"No","2014","Couple + C. LE 16 ","(3a) lower tertiary education","312","0.639764031415823","0.594805255062034","0.684722807769612"
"No","2014","Couple + C. LE 16 ","(3b) higher tertiary education","665","0.609745067403716","0.580211507558716","0.639278627248715"
"No","2014","Couple + C. GT 16 ","(0) in school","14","","",""
"No","2014","Couple + C. GT 16 ","(1a) inadequately completed","16","","",""
"No","2014","Couple + C. GT 16 ","(1b) general elementary school","127","0.86179543624483","0.805622467487882","0.917968405001779"
"No","2014","Couple + C. GT 16 ","(1c) basic vocational qualification","336","0.831736565042559","0.795121173956206","0.868351956128913"
"No","2014","Couple + C. GT 16 ","(2b) intermediate general qualification","83","0.868800998037979","0.801264599792289","0.936337396283668"
"No","2014","Couple + C. GT 16 ","(2a) intermediate vocational","393","0.796647079274172","0.761367671981189","0.831926486567155"
"No","2014","Couple + C. GT 16 ","(2c_gen) general maturity certificate","111","0.79381790624084","0.727041283132954","0.860594529348726"
"No","2014","Couple + C. GT 16 ","(2c_voc) vocational maturity certificate","150","0.775347533349287","0.71584698208192","0.834848084616654"
"No","2014","Couple + C. GT 16 ","(3a) lower tertiary education","83","0.664486834599579","0.585421560475186","0.743552108723971"
"No","2014","Couple + C. GT 16 ","(3b) higher tertiary education","144","0.620284581120039","0.557151094907972","0.683418067332106"
"No","2014","Couple + C. LE and GT 16","(0) in school","23","","",""
"No","2014","Couple + C. LE and GT 16","(1a) inadequately completed","33","0.994751677920035","0.970464547094041","1.01903880874603"
"No","2014","Couple + C. LE and GT 16","(1b) general elementary school","138","0.895684626976399","0.846768261703803","0.944600992248995"
"No","2014","Couple + C. LE and GT 16","(1c) basic vocational qualification","238","0.882349813973146","0.844475707006882","0.92022392093941"
"No","2014","Couple + C. LE and GT 16","(2b) intermediate general qualification","69","0.888745453101645","0.819840462451995","0.957650443751296"
"No","2014","Couple + C. LE and GT 16","(2a) intermediate vocational","246","0.776767786618157","0.731143389591009","0.822392183645304"
"No","2014","Couple + C. LE and GT 16","(2c_gen) general maturity certificate","84","0.70421304198574","0.619309043385232","0.789117040586249"
"No","2014","Couple + C. LE and GT 16","(2c_voc) vocational maturity certificate","110","0.704243698225799","0.632855445395543","0.775631951056054"
"No","2014","Couple + C. LE and GT 16","(3a) lower tertiary education","60","0.594080984718877","0.49635619425324","0.691805775184513"
"No","2014","Couple + C. LE and GT 16","(3b) higher tertiary education","113","0.6582952867982","0.588620772923893","0.727969800672508"
"Yes","2015","1-pers.-HH","(0) in school","","","",""
"Yes","2015","1-pers.-HH","(1a) inadequately completed","1","","",""
"Yes","2015","1-pers.-HH","(1b) general elementary school","6","","",""
"Yes","2015","1-pers.-HH","(1c) basic vocational qualification","51","0.208256648600645","0.159821809754552","0.256691487446738"
"Yes","2015","1-pers.-HH","(2b) intermediate general qualification","9","","",""
"Yes","2015","1-pers.-HH","(2a) intermediate vocational","91","0.257661784780521","0.214200835808038","0.301122733753005"
"Yes","2015","1-pers.-HH","(2c_gen) general maturity certificate","29","","",""
"Yes","2015","1-pers.-HH","(2c_voc) vocational maturity certificate","48","0.270503244686951","0.206142587822917","0.334863901550985"
"Yes","2015","1-pers.-HH","(3a) lower tertiary education","55","0.338084226486553","0.263126536300106","0.413041916673"
"Yes","2015","1-pers.-HH","(3b) higher tertiary education","126","0.37284714210112","0.321219147889835","0.424475136312405"
"Yes","2015","(Married) couple without C. ","(0) in school","","","",""
"Yes","2015","(Married) couple without C. ","(1a) inadequately completed","4","","",""
"Yes","2015","(Married) couple without C. ","(1b) general elementary school","18","","",""
"Yes","2015","(Married) couple without C. ","(1c) basic vocational qualification","122","0.187292626904333","0.15680313348309","0.217782120325576"
