"pgoeffd","year","hgtyp1hh","pgisced97","n","percent","lower_confidence","upper_confidence","value"
"Yes","1987","Couple + C. LE and GT 16","higher education","20","","","","1"
"No","1988","(Married) couple without C. ","higher vocational","58","0.590280779763467","0.491905730146054","0.68865582938088","2"
"No","1988","1-pers.-HH","general elemantary","71","0.777061428086996","0.688578617026144","0.865544239147847","2"
"No","1988","(Married) couple without C. ","vocational + Abi","37","0.834575852108021","0.722204448335913","0.94694725588013","2"
"No","1988","(Married) couple without C. ","higher education","73","0.588711563654344","0.502449942191638","0.67497318511705","2"
"No","1988","1-pers.-HH","inadequately","29","","","","2"
"No","1988","1-pers.-HH","middle vocational","171","0.713433803659837","0.655500341455388","0.771367265864286","2"
"No","1988","1-pers.-HH","vocational + Abi","16","","","","2"
"No","1988","Couple + C. GT 16 ","inadequately","58","0.94057035981126","0.882646792751353","0.998493926871168","2"
"No","1988","Couple + C. GT 16 ","general elemantary","296","0.760540874211721","0.717116045673082","0.80396570275036","2"
"No","1988","1-pers.-HH","higher vocational","9","","","","2"
"No","1988","(Married) couple without C. ","middle vocational","522","0.758652884635846","0.726443987305507","0.790861781966185","2"
"No","1988","Couple + C. GT 16 ","middle vocational","531","0.768302192874879","0.736567068699213","0.800037317050545","2"
"No","1988","Couple + C. GT 16 ","vocational + Abi","25","","","","2"
"No","1988","1-pers.-HH","in school","","","","","2"
"No","1988","1-pers.-HH","higher education","41","0.50927417560396","0.398332154477848","0.620216196730073","2"
"No","1988","(Married) couple without C. ","in school","","","","","2"
"No","1988","(Married) couple without C. ","inadequately","42","0.974725465350227","0.928348268734566","1.02110266196589","2"
"No","1988","(Married) couple without C. ","general elemantary","171","0.798349847312568","0.743290772658401","0.853408921966735","2"
"No","1988","Couple + C. GT 16 ","in school","3","","","","2"
"No","1988","Couple + C. GT 16 ","higher vocational","51","0.703216169490327","0.599825344352069","0.806606994628585","2"
"No","1988","Couple + C. LE and GT 16","middle vocational","230","0.800285278005014","0.752948328946338","0.847622227063689","2"
"No","1988","Couple + C. LE and GT 16","vocational + Abi","6","","","","2"
"No","1988","Couple + C. LE and GT 16","higher vocational","17","","","","2"
"No","1988","Couple + C. LE and GT 16","higher education","13","","","","2"
"No","1988","Couple + C. GT 16 ","higher education","51","0.557212058396238","0.454016445804989","0.660407670987488","2"
"No","1988","Couple + C. LE and GT 16","in school","1","","","","2"
"No","1988","Couple + C. LE and GT 16","inadequately","57","0.857536711644087","0.773843827817817","0.941229595470357","2"
"No","1988","Couple + C. LE and GT 16","general elemantary","202","0.868450320928331","0.824577248005788","0.912323393850873","2"
"No","1988","Single parent ","in school","2","","","","2"
"No","1988","Single parent ","inadequately","12","","","","2"
"No","1988","Single parent ","general elemantary","78","0.865717433935786","0.795276560249531","0.936158307622041","2"
"No","1988","Single parent ","middle vocational","121","0.767879130541986","0.700540676142436","0.835217584941536","2"
"No","1988","Single parent ","vocational + Abi","9","","","","2"
"No","1988","Single parent ","higher vocational","11","","","","2"
"No","1988","Single parent ","higher education","3","","","","2"
"No","1988","Couple + C. LE 16 ","in school","","","","","2"
"No","1988","Couple + C. LE 16 ","inadequately","92","0.921727379273353","0.869082725643857","0.974372032902848","2"
"No","1988","Couple + C. LE 16 ","general elemantary","226","0.876692220983893","0.835935719164059","0.917448722803727","2"
"No","1988","Couple + C. LE 16 ","middle vocational","605","0.786818245687671","0.757448511417546","0.816187979957796","2"
"No","1988","Couple + C. LE 16 ","vocational + Abi","41","0.793620048016623","0.680304339225621","0.906935756807625","2"
"No","1988","Couple + C. LE 16 ","higher vocational","81","0.713433328013697","0.631150609229426","0.795716046797968","2"
"No","1988","Couple + C. LE 16 ","higher education","99","0.54513874287129","0.472190544009973","0.618086941732607","2"
"Yes","1988","1-pers.-HH","in school","","","","","1"
"Yes","1988","1-pers.-HH","inadequately","1","","","","1"
"Yes","1988","1-pers.-HH","general elemantary","14","","","","1"
"Yes","1988","1-pers.-HH","middle vocational","63","0.286566196340163","0.228632734135714","0.344499658544612","1"
"Yes","1988","1-pers.-HH","vocational + Abi","6","","","","1"
"Yes","1988","1-pers.-HH","higher vocational","13","","","","1"
"Yes","1988","1-pers.-HH","higher education","37","0.49072582439604","0.379783803269927","0.601667845522152","1"
"Yes","1988","(Married) couple without C. ","in school","","","","","1"
"Yes","1988","(Married) couple without C. ","inadequately","2","","","","1"
"Yes","1988","(Married) couple without C. ","general elemantary","33","0.201650152687432","0.146591078033265","0.256709227341599","1"
"Yes","1988","(Married) couple without C. ","middle vocational","156","0.241347115364154","0.209138218033815","0.273556012694494","1"
"Yes","1988","(Married) couple without C. ","vocational + Abi","5","","","","1"
"Yes","1988","(Married) couple without C. ","higher vocational","38","0.409719220236533","0.31134417061912","0.508094269853946","1"
"Yes","1988","(Married) couple without C. ","higher education","52","0.411288436345656","0.32502681488295","0.497550057808362","1"
"Yes","1988","Single parent ","in school","","","","","1"
"Yes","1988","Single parent ","inadequately","3","","","","1"
"Yes","1988","Single parent ","general elemantary","12","","","","1"
"Yes","1988","Single parent ","middle vocational","30","0.232120869458014","0.164782415058465","0.299459323857564","1"
"Yes","1988","Single parent ","vocational + Abi","2","","","","1"
"Yes","1988","Single parent ","higher vocational","5","","","","1"
"Yes","1988","Single parent ","higher education","7","","","","1"
"Yes","1988","Couple + C. LE 16 ","in school","","","","","1"
"Yes","1988","Couple + C. LE 16 ","inadequately","8","","","","1"
"Yes","1988","Couple + C. LE 16 ","general elemantary","24","","","","1"
"Yes","1988","Couple + C. LE 16 ","middle vocational","142","0.213181754312329","0.183812020042204","0.242551488582454","1"
"Yes","1988","Couple + C. LE 16 ","vocational + Abi","8","","","","1"
"Yes","1988","Couple + C. LE 16 ","higher vocational","35","0.286566671986303","0.204283953202032","0.368849390770575","1"
"Yes","1988","Couple + C. LE 16 ","higher education","80","0.45486125712871","0.381913058267393","0.527809455990026","1"
"Yes","1988","Couple + C. GT 16 ","in school","","","","","1"
"Yes","1988","Couple + C. GT 16 ","inadequately","6","","","","1"
"Yes","1988","Couple + C. GT 16 ","general elemantary","75","0.239459125788279","0.19603429724964","0.282883954326918","1"
"Yes","1988","Couple + C. GT 16 ","middle vocational","148","0.231697807125121","0.199962682949455","0.263432931300787","1"
"Yes","1988","Couple + C. GT 16 ","vocational + Abi","5","","","","1"
"Yes","1988","Couple + C. GT 16 ","higher vocational","24","","","","1"
"Yes","1988","Couple + C. GT 16 ","higher education","38","0.442787941603762","0.339592329012512","0.545983554195011","1"
"Yes","1988","Couple + C. LE and GT 16","in school","","","","","1"
"Yes","1988","Couple + C. LE and GT 16","inadequately","10","","","","1"
"Yes","1988","Couple + C. LE and GT 16","general elemantary","26","","","","1"
"Yes","1988","Couple + C. LE and GT 16","middle vocational","44","0.199714721994986","0.152377772936311","0.247051671053662","1"
"Yes","1988","Couple + C. LE and GT 16","vocational + Abi","1","","","","1"
"Yes","1988","Couple + C. LE and GT 16","higher vocational","11","","","","1"
"Yes","1988","Couple + C. LE and GT 16","higher education","15","","","","1"
"No","1989","Couple + C. GT 16 ","vocational + Abi","28","","","","2"
"No","1989","Couple + C. GT 16 ","inadequately","64","0.890684540198265","0.818103754248029","0.9632653261485","2"
"No","1989","Couple + C. GT 16 ","general elemantary","322","0.799428116346258","0.759635909430016","0.8392203232625","2"
"No","1989","(Married) couple without C. ","higher education","88","0.662137061947947","0.583507670078472","0.740766453817421","2"
"No","1989","(Married) couple without C. ","higher vocational","60","0.666734715514049","0.569884862177666","0.763584568850431","2"
"No","1989","Couple + C. GT 16 ","in school","5","","","","2"
"No","1989","1-pers.-HH","general elemantary","76","0.778661254837437","0.695179937665535","0.862142572009339","2"
"No","1989","Couple + C. GT 16 ","middle vocational","517","0.752318283373144","0.719632532035429","0.78500403471086","2"
"No","1989","1-pers.-HH","vocational + Abi","25","","","","2"
"No","1989","(Married) couple without C. ","vocational + Abi","52","0.893974411539559","0.813339712873906","0.974609110205212","2"
"No","1989","Couple + C. GT 16 ","higher vocational","44","0.622887861440296","0.511707815114042","0.73406790776655","2"
"No","1989","Couple + C. LE and GT 16","vocational + Abi","9","","","","2"
"No","1989","Couple + C. LE and GT 16","higher vocational","17","","","","2"
"No","1989","Couple + C. LE and GT 16","higher education","17","","","","2"
"No","1989","1-pers.-HH","middle vocational","190","0.731077576888732","0.676973065691347","0.785182088086117","2"
"No","1989","1-pers.-HH","inadequately","25","","","","2"
"No","1989","1-pers.-HH","higher vocational","12","","","","2"
"No","1989","(Married) couple without C. ","middle vocational","548","0.766591683530041","0.73541150490012","0.797771862159962","2"
"No","1989","Couple + C. GT 16 ","higher education","50","0.583341462383007","0.476634506533576","0.690048418232437","2"
"No","1989","Couple + C. LE and GT 16","middle vocational","233","0.817709096298114","0.771910867655904","0.863507324940323","2"
"No","1989","1-pers.-HH","in school","","","","","2"
"No","1989","1-pers.-HH","higher education","43","0.452840945484228","0.350002269700419","0.555679621268037","2"
"No","1989","(Married) couple without C. ","in school","","","","","2"
"No","1989","(Married) couple without C. ","inadequately","33","0.894691276474269","0.797096838266393","0.992285714682145","2"
"No","1989","(Married) couple without C. ","general elemantary","164","0.735285853650656","0.675329791082562","0.79524191621875","2"
"No","1989","Couple + C. LE and GT 16","in school","","","","","2"
"No","1989","Couple + C. LE and GT 16","inadequately","49","0.909068385350951","0.834429285721957","0.983707484979945","2"
"No","1989","Couple + C. LE and GT 16","general elemantary","193","0.874063860071511","0.829818474286786","0.918309245856236","2"
"No","1989","Single parent ","in school","3","","","","2"
"No","1989","Single parent ","inadequately","12","","","","2"
"No","1989","Single parent ","general elemantary","68","0.833363575271244","0.751704337043674","0.915022813498815","2"
"No","1989","Single parent ","middle vocational","112","0.770260244318818","0.701070657392462","0.839449831245174","2"
"No","1989","Single parent ","vocational + Abi","5","","","","2"
"No","1989","Single parent ","higher vocational","15","","","","2"
"No","1989","Single parent ","higher education","8","","","","2"
"No","1989","Couple + C. LE 16 ","in school","1","","","","2"
"No","1989","Couple + C. LE 16 ","inadequately","89","0.911167986288526","0.855683523694998","0.966652448882054","2"
"No","1989","Couple + C. LE 16 ","general elemantary","240","0.876529614006791","0.836770663097163","0.91628856491642","2"
"No","1989","Couple + C. LE 16 ","middle vocational","610","0.782013181674559","0.752678733983035","0.811347629366084","2"
"No","1989","Couple + C. LE 16 ","vocational + Abi","40","0.918466665830029","0.836674225860189","1.00025910579987","2"
"No","1989","Couple + C. LE 16 ","higher vocational","79","0.704605749891348","0.620488904045434","0.788722595737262","2"
"No","1989","Couple + C. LE 16 ","higher education","95","0.542536840129693","0.467648136992832","0.617425543266554","2"
"Yes","1989","1-pers.-HH","in school","","","","","1"
"Yes","1989","1-pers.-HH","inadequately","3","","","","1"
"Yes","1989","1-pers.-HH","general elemantary","19","","","","1"
"Yes","1989","1-pers.-HH","middle vocational","68","0.268922423111268","0.214817911913883","0.323026934308653","1"
"Yes","1989","1-pers.-HH","vocational + Abi","3","","","","1"
"Yes","1989","1-pers.-HH","higher vocational","13","","","","1"
"Yes","1989","1-pers.-HH","higher education","47","0.547159054515772","0.444320378731963","0.649997730299582","1"
"Yes","1989","(Married) couple without C. ","in school","","","","","1"
"Yes","1989","(Married) couple without C. ","inadequately","5","","","","1"
"Yes","1989","(Married) couple without C. ","general elemantary","44","0.264714146349344","0.20475808378125","0.324670208917438","1"
"Yes","1989","(Married) couple without C. ","middle vocational","159","0.233408316469959","0.202228137840038","0.26458849509988","1"
"Yes","1989","(Married) couple without C. ","vocational + Abi","4","","","","1"
"Yes","1989","(Married) couple without C. ","higher vocational","31","0.333265284485951","0.236415431149569","0.430115137822334","1"
