"pgoeffd","year","bula_h","pgisced97","n","percent","lower_confidence","upper_confidence"
"Yes","1986","Bremen","vocational + Abi","","","",""
"Yes","1986","Bremen","higher vocational","","","",""
"Yes","1986","Bremen","higher education","","","",""
"Yes","1986","North Rhine-Westphalia","in school","","","",""
"Yes","1986","North Rhine-Westphalia","inadequately","10","","",""
"Yes","1986","North Rhine-Westphalia","general elemantary","47","0.200128920907653","0.154394903808838","0.245862938006467"
"Yes","1986","North Rhine-Westphalia","middle vocational","152","0.219883278579004","0.189900491607242","0.249866065550765"
"Yes","1986","North Rhine-Westphalia","vocational + Abi","10","","",""
"Yes","1986","North Rhine-Westphalia","higher vocational","39","0.418416898327391","0.318159342152039","0.518674454502743"
"Yes","1986","North Rhine-Westphalia","higher education","90","0.544824690328738","0.468609084609699","0.621040296047778"
"Yes","1986","Hesse","in school","","","",""
"Yes","1986","Hesse","inadequately","6","","",""
"Yes","1986","Hesse","general elemantary","21","","",""
"Yes","1986","Hesse","middle vocational","64","0.25484874227089","0.203897075238923","0.305800409302858"
"Yes","1986","Hesse","vocational + Abi","3","","",""
"Yes","1986","Hesse","higher vocational","12","","",""
"Yes","1986","Hesse","higher education","32","0.535099177704369","0.412903624182179","0.65729473122656"
"Yes","1986","Rhineland-Palatinate,Saarland","in school","","","",""
"Yes","1986","Rhineland-Palatinate,Saarland","inadequately","3","","",""
"Yes","1986","Rhineland-Palatinate,Saarland","general elemantary","14","","",""
"Yes","1986","Rhineland-Palatinate,Saarland","middle vocational","53","0.266486685337389","0.207797024137746","0.325176346537031"
"Yes","1986","Rhineland-Palatinate,Saarland","vocational + Abi","1","","",""
"Yes","1986","Rhineland-Palatinate,Saarland","higher vocational","4","","",""
"Yes","1986","Rhineland-Palatinate,Saarland","higher education","11","","",""
"Yes","1986","Baden-Württemberg","in school","","","",""
"Yes","1986","Baden-Württemberg","inadequately","7","","",""
"Yes","1986","Baden-Württemberg","general elemantary","42","0.185144456445889","0.142319175725834","0.227969737165945"
"Yes","1986","Baden-Württemberg","middle vocational","93","0.20088082621445","0.168189299493173","0.233572352935727"
"Yes","1986","Baden-Württemberg","vocational + Abi","4","","",""
"Yes","1986","Baden-Württemberg","higher vocational","19","","",""
"Yes","1986","Baden-Württemberg","higher education","41","0.447218069273934","0.34274002003083","0.551696118517038"
"Yes","1986","Bavaria","in school","","","",""
"Yes","1986","Bavaria","inadequately","5","","",""
"Yes","1986","Bavaria","general elemantary","31","0.155945786187779","0.110791992545589","0.20109957982997"
"Yes","1986","Bavaria","middle vocational","108","0.218392992621245","0.182848036374373","0.253937948868118"
"Yes","1986","Bavaria","vocational + Abi","5","","",""
"Yes","1986","Bavaria","higher vocational","20","","",""
"Yes","1986","Bavaria","higher education","50","0.504108071992771","0.407550836301198","0.600665307684344"
"Yes","1986","Berlin","in school","","","",""
"Yes","1986","Berlin","inadequately","3","","",""
"Yes","1986","Berlin","general elemantary","13","","",""
"Yes","1986","Berlin","middle vocational","34","0.371994036863599","0.279101399316365","0.464886674410832"
"Yes","1986","Berlin","vocational + Abi","","","",""
"Yes","1986","Berlin","higher vocational","11","","",""
"Yes","1986","Berlin","higher education","12","","",""
"Yes","1986","Brandenburg","in school","","","",""
"Yes","1986","Brandenburg","inadequately","","","",""
"Yes","1986","Brandenburg","general elemantary","","","",""
"Yes","1986","Brandenburg","middle vocational","","","",""
"Yes","1986","Brandenburg","vocational + Abi","","","",""
"Yes","1986","Brandenburg","higher vocational","","","",""
"Yes","1986","Brandenburg","higher education","","","",""
"Yes","1986","Mecklenburg-Western Pomerania","in school","","","",""
"Yes","1986","Mecklenburg-Western Pomerania","inadequately","","","",""
"Yes","1986","Mecklenburg-Western Pomerania","general elemantary","","","",""
"Yes","1986","Mecklenburg-Western Pomerania","middle vocational","","","",""
"Yes","1986","Mecklenburg-Western Pomerania","vocational + Abi","","","",""
"Yes","1986","Mecklenburg-Western Pomerania","higher vocational","","","",""
"Yes","1986","Mecklenburg-Western Pomerania","higher education","","","",""
"Yes","1986","Saxony","in school","","","",""
"Yes","1986","Saxony","inadequately","","","",""
"Yes","1986","Saxony","general elemantary","","","",""
"Yes","1986","Saxony","middle vocational","","","",""
"Yes","1986","Saxony","vocational + Abi","","","",""
"Yes","1986","Saxony","higher vocational","","","",""
"Yes","1986","Saxony","higher education","","","",""
"Yes","1986","Saxony-Anhalt","in school","","","",""
"Yes","1986","Saxony-Anhalt","inadequately","","","",""
"Yes","1986","Saxony-Anhalt","general elemantary","","","",""
"Yes","1986","Saxony-Anhalt","middle vocational","","","",""
"Yes","1986","Saxony-Anhalt","vocational + Abi","","","",""
"Yes","1986","Saxony-Anhalt","higher vocational","","","",""
"Yes","1986","Saxony-Anhalt","higher education","","","",""
"Yes","1986","Thuringia","in school","","","",""
"Yes","1986","Thuringia","inadequately","","","",""
"Yes","1986","Thuringia","general elemantary","","","",""
"Yes","1986","Thuringia","middle vocational","","","",""
"Yes","1986","Thuringia","vocational + Abi","","","",""
"Yes","1986","Thuringia","higher vocational","","","",""
"Yes","1986","Thuringia","higher education","","","",""
"No","1986","Schleswig-Holstein","in school","","","",""
"No","1986","Schleswig-Holstein","inadequately","4","","",""
"No","1986","Schleswig-Holstein","general elemantary","25","","",""
"No","1986","Schleswig-Holstein","middle vocational","83","0.730303822955503","0.648836236988851","0.811771408922155"
"No","1986","Schleswig-Holstein","vocational + Abi","4","","",""
"No","1986","Schleswig-Holstein","higher vocational","8","","",""
"No","1986","Schleswig-Holstein","higher education","10","","",""
"No","1986","Hamburg","in school","","","",""
"No","1986","Hamburg","inadequately","5","","",""
"No","1986","Hamburg","general elemantary","14","","",""
"No","1986","Hamburg","middle vocational","50","0.727588950759315","0.621773510856686","0.833404390661944"
"No","1986","Hamburg","vocational + Abi","6","","",""
"No","1986","Hamburg","higher vocational","7","","",""
"No","1986","Hamburg","higher education","10","","",""
"No","1986","Lower Saxony","in school","","","",""
"No","1986","Lower Saxony","inadequately","16","","",""
"No","1986","Lower Saxony","general elemantary","88","0.784950839909759","0.707103046547168","0.862798633272351"
"No","1986","Lower Saxony","middle vocational","235","0.753179037067977","0.704711446294355","0.8016466278416"
"No","1986","Lower Saxony","vocational + Abi","11","","",""
"No","1986","Lower Saxony","higher vocational","32","0.656807358335973","0.523872756338837","0.789741960333109"
"No","1986","Lower Saxony","higher education","28","","",""
"No","1986","Bremen","in school","","","",""
"No","1986","Bremen","inadequately","","","",""
"No","1986","Bremen","general elemantary","12","","",""
"No","1986","Bremen","middle vocational","20","","",""
"No","1986","Bremen","vocational + Abi","2","","",""
"No","1986","Bremen","higher vocational","1","","",""
"No","1986","Bremen","higher education","","","",""
"No","1986","North Rhine-Westphalia","in school","","","",""
"No","1986","North Rhine-Westphalia","inadequately","108","0.930379450221845","0.884459028667225","0.976299871776465"
"No","1986","North Rhine-Westphalia","general elemantary","247","0.799871079092347","0.754137061993533","0.845605096191162"
"No","1986","North Rhine-Westphalia","middle vocational","581","0.780116721420996","0.750133934449235","0.810099508392758"
"No","1986","North Rhine-Westphalia","vocational + Abi","45","0.768321788889954","0.656820235808255","0.879823341971654"
"No","1986","North Rhine-Westphalia","higher vocational","54","0.581583101672609","0.481325545497257","0.681840657847961"
"No","1986","North Rhine-Westphalia","higher education","74","0.455175309671262","0.378959703952222","0.531390915390301"
"No","1986","Hesse","in school","1","","",""
"No","1986","Hesse","inadequately","34","0.893668291857068","0.79813875655167","0.989197827162466"
"No","1986","Hesse","general elemantary","106","0.774376298700581","0.701679612193852","0.847072985207309"
"No","1986","Hesse","middle vocational","217","0.74515125772911","0.694199590697142","0.796102924761077"
"No","1986","Hesse","vocational + Abi","19","","",""
"No","1986","Hesse","higher vocational","19","","",""
"No","1986","Hesse","higher education","32","0.464900822295631","0.34270526877344","0.587096375817821"
"No","1986","Rhineland-Palatinate,Saarland","in school","1","","",""
"No","1986","Rhineland-Palatinate,Saarland","inadequately","25","","",""
"No","1986","Rhineland-Palatinate,Saarland","general elemantary","77","0.810557800597878","0.730046331133682","0.891069270062074"
"No","1986","Rhineland-Palatinate,Saarland","middle vocational","165","0.733513314662611","0.674823653462969","0.792202975862254"
"No","1986","Rhineland-Palatinate,Saarland","vocational + Abi","5","","",""
"No","1986","Rhineland-Palatinate,Saarland","higher vocational","17","","",""
"No","1986","Rhineland-Palatinate,Saarland","higher education","14","","",""
"No","1986","Baden-Württemberg","in school","","","",""
"No","1986","Baden-Württemberg","inadequately","112","0.906573752593217","0.85428471681138","0.958862788375055"
"No","1986","Baden-Württemberg","general elemantary","274","0.814855543554111","0.772030262834055","0.857680824274166"
"No","1986","Baden-Württemberg","middle vocational","484","0.79911917378555","0.766427647064273","0.831810700506827"
"No","1986","Baden-Württemberg","vocational + Abi","29","","",""
"No","1986","Baden-Württemberg","higher vocational","44","0.706738312411129","0.594320585767889","0.819156039054369"
"No","1986","Baden-Württemberg","higher education","46","0.552781930726066","0.448303881482962","0.65725997996917"
"No","1986","Bavaria","in school","","","",""
"No","1986","Bavaria","inadequately","43","0.854496443146181","0.754744949611999","0.954247936680363"
"No","1986","Bavaria","general elemantary","217","0.84405421381222","0.79890042017003","0.889208007454411"
"No","1986","Bavaria","middle vocational","411","0.781607007378755","0.746062051131882","0.817151963625627"
"No","1986","Bavaria","vocational + Abi","18","","",""
"No","1986","Bavaria","higher vocational","50","0.707865907912197","0.601337437732083","0.814394378092311"
"No","1986","Bavaria","higher education","53","0.495891928007229","0.399334692315656","0.592449163698801"
"No","1986","Berlin","in school","","","",""
"No","1986","Berlin","inadequately","5","","",""
"No","1986","Berlin","general elemantary","27","","",""
"No","1986","Berlin","middle vocational","70","0.628005963136401","0.535113325589168","0.720898600683635"
"No","1986","Berlin","vocational + Abi","5","","",""
"No","1986","Berlin","higher vocational","5","","",""
"No","1986","Berlin","higher education","13","","",""
"No","1986","Brandenburg","in school","","","",""
"No","1986","Brandenburg","inadequately","","","",""
"No","1986","Brandenburg","general elemantary","","","",""
"No","1986","Brandenburg","middle vocational","","","",""
"No","1986","Brandenburg","vocational + Abi","","","",""
"No","1986","Brandenburg","higher vocational","","","",""
"No","1986","Brandenburg","higher education","","","",""
"No","1986","Mecklenburg-Western Pomerania","in school","","","",""
"No","1986","Mecklenburg-Western Pomerania","inadequately","","","",""
"No","1986","Mecklenburg-Western Pomerania","general elemantary","","","",""
"No","1986","Mecklenburg-Western Pomerania","middle vocational","","","",""
"No","1986","Mecklenburg-Western Pomerania","vocational + Abi","","","",""
"No","1986","Mecklenburg-Western Pomerania","higher vocational","","","",""
"No","1986","Mecklenburg-Western Pomerania","higher education","","","",""
"No","1986","Saxony","in school","","","",""
"No","1986","Saxony","inadequately","","","",""
"No","1986","Saxony","general elemantary","","","",""
"No","1986","Saxony","middle vocational","","","",""
"No","1986","Saxony","vocational + Abi","","","",""
"No","1986","Saxony","higher vocational","","","",""
"No","1986","Saxony","higher education","","","",""
"No","1986","Saxony-Anhalt","in school","","","",""
"No","1986","Saxony-Anhalt","inadequately","","","",""
"No","1986","Saxony-Anhalt","general elemantary","","","",""
"No","1986","Saxony-Anhalt","middle vocational","","","",""
"No","1986","Saxony-Anhalt","vocational + Abi","","","",""
"No","1986","Saxony-Anhalt","higher vocational","","","",""
"No","1986","Saxony-Anhalt","higher education","","","",""
"No","1986","Thuringia","in school","","","",""
"No","1986","Thuringia","inadequately","","","",""
"No","1986","Thuringia","general elemantary","","","",""
"No","1986","Thuringia","middle vocational","","","",""
"No","1986","Thuringia","vocational + Abi","","","",""
"No","1986","Thuringia","higher vocational","","","",""
"No","1986","Thuringia","higher education","","","",""
"Yes","1987","Schleswig-Holstein","in school","","","",""
"Yes","1987","Schleswig-Holstein","inadequately","","","",""
"Yes","1987","Schleswig-Holstein","general elemantary","5","","",""
"Yes","1987","Schleswig-Holstein","middle vocational","35","0.303470244805521","0.218701302619513","0.388239186991529"
